DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P7250;P7260;P7280;P7280S1;P7310;P7320;P7350;P7350S1;P7360;P9460;P7390;P7390S1;P7420;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S7A1;P7420S8;P7422;P7422S1;P1806;P1519;P1883;OFICIO1;OFICIO2;RAMA2D_D;DSI;DSCY;RAMA4D_D;MES;DPTO;fex_c_2011;AREA
4391891;1;3;1;70;1;2;48;1; ;2;4;1; ;3;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;737717;2; ;39;95;45;1;1;4521;08;11;2538,36529461516;11
4391898;1;2;1;70;1;2;24;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;737717; ; ;45; ; ;1;1; ;08;11;2156,25033920348;11
4391918;1;1;1;70;1;4;48;1; ;2;8;1; ;9;2;7; ; ; ; ; ; ; ; ; ; ;1;2; ;737717;2; ;98;45;52;1;1;5211;08;11;2558,22631770189;11
4391918;1;2;1;70;1;4;48;1; ;2;8;1; ;3;2;7; ; ; ; ; ; ; ; ; ; ;1;2; ;737717;2; ;39;45;52;1;1;5233;08;11;2558,22631770189;11
4391938;1;1;1;70;1;4;48;2; ;2;4;2; ;9;2;8; ; ; ; ; ; ; ; ; ; ;1;2; ;1200000;2; ;58;58;75;1;1;7512;08;13;352,790914608325;13
4391939;1;2;1;70;1;12;48;3; ;2;20;3; ;1;2;1; ; ; ; ; ; ; ;1; ; ; ;2; ;600000;2; ;54;54;95;1;1;9500;08;13;437,557062353673;13
4391944;1;3;1;70;1;12;48;1; ;2;20;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;800000;2; ;45;45;52;1;1;5252;08;13;498,563881572466;13
4391950;1;3;1;70;1;52;48;1; ;2;52;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;1000000;2; ;19;45;52;1;2;5234;08;13;664,39764286509;13
4391955;1;2;1;70;1;12;48;1; ;2;12;1; ;6;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;800000;2; ;53;53;85;1;1;8532;08;13;711,283063521992;13
4391956;1;2;1;70;1;12;50;3; ;2;12;3; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;800000;2; ;54;54;95;1;1;9500;08;13;811,101949132753;13
4391958;1;1;1;70;1;20;48;1; ;2;20;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;737717;2; ;55;41;52;1;2;5239;08;13;914,501067665452;13
4391960;1;2;1;70;1;4;40;1; ;2;36;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;737717;2; ;55;97;33;1;1;3311;08;13;705,463562021864;13
4391963;1;3;1;70;1;12;48;1; ;2;12;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;737717;2; ;99;99;90;1;1;9000;08;13;755,239916183493;13
