DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,P7480,P7480S1,P7480S3,P7480S4,P7480S5,P7480S6,P7480S7,P7480S8,P7480S9,P7480S10,P7480S11,P7480S1A1,P7480S3A1,P7480S4A1,P7480S5A1,P7480S6A1,P7480S7A1,P7480S8A1,P7480S9A1,P7480S10A1,P7480S11A1,clase,MES,DPTO,AREA,fex_c_2011
2819178,1,1,1,90,,2,1,2,2,2,2,2,2,2,2,,7,,,,,,,,,1,11,23,23,123.468.475.122.762
2819178,1,2,1,90,,2,1,2,2,2,2,2,2,2,2,,25,,,,,,,,,1,11,23,23,123.468.475.122.762
2819179,1,1,1,90,,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,1,11,23,23,120.199.195.298.656
2819179,1,2,1,90,,2,1,2,1,2,2,2,2,2,2,,25,,18,,,,,,,1,11,23,23,120.199.195.298.656
2819179,1,3,1,90,,2,1,2,1,2,2,2,2,2,2,,14,,15,,,,,,,1,11,23,23,120.199.195.298.656
2819179,1,5,1,90,,2,1,2,1,2,2,2,2,2,2,,15,,18,,,,,,,1,11,23,23,120.199.195.298.656
2819180,1,1,1,90,,2,1,2,2,2,2,2,2,2,2,,3,,,,,,,,,1,11,23,23,125.958.262.654.171
2819181,1,1,1,90,,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,1,11,23,23,109.600.366.226.823
2819181,1,2,1,90,,2,1,2,2,2,2,2,2,2,2,,30,,,,,,,,,1,11,23,23,109.600.366.226.823
2819181,1,3,1,90,,2,1,2,2,2,2,2,2,2,2,,14,,,,,,,,,1,11,23,23,109.600.366.226.823
2819181,1,4,1,90,,2,1,2,2,2,2,2,2,2,2,,14,,,,,,,,,1,11,23,23,109.600.366.226.823
2819182,1,1,1,90,,2,1,2,2,2,2,2,2,2,2,,14,,,,,,,,,1,11,23,23,111.717.895.795.224
2819182,1,2,1,90,,2,1,2,2,2,2,2,2,2,2,,7,,,,,,,,,1,11,23,23,111.717.895.795.224
2819183,1,1,1,90,,2,1,2,2,2,2,2,2,2,2,,14,,,,,,,,,1,11,23,23,126.726.557.834.041
2819184,1,1,1,90,,2,1,2,2,2,2,2,2,2,2,,3,,,,,,,,,1,11,73,73,156.008.653.275.698
2819184,1,2,1,90,,2,1,2,2,2,2,2,2,2,2,,30,,,,,,,,,1,11,73,73,156.008.653.275.698
2819184,1,3,1,90,,2,1,2,2,2,2,2,2,2,2,,1,,,,,,,,,1,11,73,73,156.008.653.275.698
2819185,1,1,1,90,,2,1,1,1,2,2,1,2,1,1,,18,3,8,,,4,,2,4,1,11,73,73,228.024.593.385.115
2819186,1,1,1,90,,2,1,2,2,2,2,2,2,2,2,,3,,,,,,,,,1,11,73,73,206.066.503.238.868
2819186,1,2,1,90,,2,1,2,2,2,2,2,2,2,1,,35,,,,,,,,1,1,11,73,73,206.066.503.238.868
2819186,1,3,1,90,,2,1,2,2,2,2,2,2,2,2,,1,,,,,,,,,1,11,73,73,206.066.503.238.868
2819186,1,4,1,90,,2,1,1,2,2,2,2,2,2,2,,4,1,,,,,,,,1,11,73,73,206.066.503.238.868
2819188,1,1,1,90,,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,1,11,73,73,281.722.351.627.822
2819188,1,2,1,90,,2,1,2,2,2,2,2,2,2,2,,18,,,,,,,,,1,11,73,73,281.722.351.627.822
2819188,1,3,1,90,,2,1,2,1,2,2,2,2,2,2,,5,,48,,,,,,,1,11,73,73,281.722.351.627.822
2819189,1,1,1,90,,2,1,2,1,2,2,2,2,2,2,,15,,18,,,,,,,1,11,73,73,189.831.033.613.405
2819189,1,2,1,90,,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,1,11,73,73,189.831.033.613.405
2819191,1,1,1,90,,2,1,2,2,2,2,2,2,2,1,,2,,,,,,,,5,1,11,73,73,125.633.495.542.296
2819191,1,2,1,90,,2,1,2,1,2,2,2,2,2,2,,48,,24,,,,,,,1,11,73,73,125.633.495.542.296
2819191,1,3,1,90,,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,1,11,73,73,125.633.495.542.296
2819191,1,4,1,90,,2,1,2,2,2,2,1,2,2,2,,24,,,,,8,,,,1,11,73,73,125.633.495.542.296
2819192,1,1,1,90,,2,1,2,1,2,2,2,2,2,2,,3,,9,,,,,,,1,11,73,73,147.575.441.071.432
2819193,1,1,1,90,,2,1,2,2,2,2,2,2,2,2,,2,,,,,,,,,1,11,73,73,147.575.441.071.432
2819194,1,1,1,90,,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,1,11,73,73,21.818.231.950.233
2819194,1,2,1,90,,2,1,2,2,2,2,2,2,2,2,,14,,,,,,,,,1,11,73,73,21.818.231.950.233
