Directorio;Secuencia_p;Orden;Regis;P7430;P7440;P7450;P7450s1;P7460;P7470;P7472;P7472s1;P7490;P7490s1;Clase;Dpto;Area;Fex_c_2011
304296;2;2;80;1;4;3; ;3; ; ; ; ; ;1;50;50;110,009003651375
304299;2;2;80;1;4;2; ;2; ; ; ; ; ;1;50;50;438,000248614886
304302;2;2;80;2; ; ; ; ; ; ; ; ; ;1;50;50;250,135068966902
304303;2;1;80;1;4;4; ;3; ; ; ; ; ;1;50;50;119,208157641657
304303;2;2;80;2; ; ; ; ; ; ; ; ; ;1;50;50;119,208157641657
304305;2;2;80;1;3;4; ;3; ; ; ; ; ;1;50;50;134,516601622764
304306;2;1;80;2; ; ; ; ; ; ; ; ; ;1;50;50;128,517040553049
304311;2;3;80;2; ; ; ; ; ; ; ; ; ;1;50;50;160,717168224917
304312;2;5;80;2; ; ; ; ; ; ; ; ; ;1;54;54;467,331967456233
304314;2;2;80;1;4;2; ;2; ; ; ; ; ;1;54;54;291,583480508183
304314;2;3;80;2; ; ; ; ; ; ; ; ; ;1;54;54;291,583480508183
304315;2;5;80;1;1;3; ;2; ; ; ; ; ;1;54;54;196,551571808766
304315;2;6;80;2; ; ; ; ; ; ; ; ; ;1;54;54;196,551571808766
304316;2;3;80;2; ; ; ; ; ; ; ; ; ;1;54;54;294,864285638605
304316;2;4;80;2; ; ; ; ; ; ; ; ; ;1;54;54;294,864285638605
304318;2;2;80;2; ; ; ; ; ; ; ; ; ;1;54;54;334,810757486121
304318;2;3;80;2; ; ; ; ; ; ; ; ; ;1;54;54;334,810757486121
304318;2;5;80;1;4;2; ;2; ; ; ; ; ;1;54;54;334,810757486121
304319;2;1;80;1;4;2; ;2; ; ; ; ; ;1;54;54;271,187712378897
304320;2;2;80;1;4;3; ;2; ; ; ; ; ;1;54;54;384,102807078545
304320;2;4;80;2; ; ; ; ; ; ; ; ; ;1;54;54;384,102807078545
304321;2;2;80;2; ; ; ; ; ; ; ; ; ;1;54;54;304,788002932296
304322;2;1;80;1;4;2; ;2; ; ; ; ; ;1;54;54;333,362794795406
304323;2;2;80;2; ; ; ; ; ; ; ; ; ;1;54;54;378,436028083356
304325;2;2;80;2; ; ; ; ; ; ; ; ; ;1;54;54;302,575160352326
304325;3;2;80;1;1;3; ;2; ; ; ; ; ;1;54;54;302,575160352326
304325;3;5;80;2; ; ; ; ; ; ; ; ; ;1;54;54;302,575160352326
304328;2;2;80;2; ; ; ; ; ; ; ; ; ;1;54;54;174,252378140482
304329;2;2;80;2; ; ; ; ; ; ; ; ; ;1;54;54;238,952115245102
304334;2;3;80;2; ; ; ; ; ; ; ; ; ;1;54;54;291,583480508183
304336;2;3;80;2; ; ; ; ; ; ; ; ; ;1;54;54;162,334256118852
304337;2;2;80;2; ; ; ; ; ; ; ; ; ;1;54;54;263,490899580422
304338;2;1;80;2; ; ; ; ; ; ; ; ; ;1;54;54;267,151704851106
304338;2;2;80;2; ; ; ; ; ; ; ; ; ;1;54;54;267,151704851106
304341;2;1;80;1;4;4; ;3; ; ; ; ; ;1;63;63;194,961668454822
304343;2;1;80;1;1;7; ;2; ; ; ; ; ;1;63;63;141,777246184298
304343;2;2;80;1;1;5; ;3; ; ; ; ; ;1;63;63;141,777246184298
304345;2;1;80;1;1;3; ;3; ; ; ; ; ;1;63;63;88,1684395132616
304345;2;2;80;2; ; ; ; ; ; ; ; ; ;1;63;63;88,1684395132616
304346;2;3;80;2; ; ; ; ; ; ; ; ; ;1;63;63;159,668670871714
304347;2;1;80;2; ; ; ; ; ; ; ; ; ;1;63;63;192,535861976048
304347;2;3;80;2; ; ; ; ; ; ; ; ; ;1;63;63;192,535861976048
304347;2;4;80;2; ; ; ; ; ; ; ; ; ;1;63;63;192,535861976048
304348;2;2;80;1;4;8;SE FUE A OTRO PAIS;2; ; ; ; ; ;1;63;63;170,805790256936
304348;2;3;80;2; ; ; ; ; ; ; ; ; ;1;63;63;170,805790256936
304349;2;1;80;1;4;4; ;3; ; ; ; ; ;1;63;63;141,777246184298
304349;2;2;80;2; ; ; ; ; ; ; ; ; ;1;63;63;141,777246184298
304351;2;2;80;1;1;1; ;2; ; ; ; ; ;1;63;63;116,718413458555
304352;2;3;80;1;2;2; ;2; ; ; ; ; ;1;63;63;170,805790256936
304353;2;2;80;1;4;2; ;2; ; ; ; ; ;1;63;63;186,470043582569
304353;2;3;80;2; ; ; ; ; ; ; ; ; ;1;63;63;186,470043582569
