DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,P7495,P7500,P7500S1,P7500S2,P7500S3A1,P7500S2A1,P7500S1A1,P7500S3,P7505,P7510S3,P7510S6,P7510S2A1,P7510S6A1,P7510S5A1,P7510S3A1,P7510S1A1,P7510S5,P7510S1,P7510S2,P7510S7A1,P7510S7,FEX_C,CLASE,MES,DPTO,FEX_C_2011
2644540,3,1,3,95,2,,,,,,,,2,,,,,,,,,,,,,170.008.357.977.541,2,3,63,174.023.875.827.389
2644541,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,13.232.503.068.174,2,3,63,143.815.171.041.026
2644541,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,,,13.232.503.068.174,2,3,63,143.815.171.041.026
2644542,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,132.706.574.571.992,2,3,63,146.473.073.182.809
2644542,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,,,132.706.574.571.992,2,3,63,146.473.073.182.809
2644543,1,1,1,95,2,,,,,,,,1,2,2,,,,,400000,2,1,2,,2,184.386.305.386.704,2,3,63,178.281.625.918.713
2644543,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,,,184.386.305.386.704,2,3,63,178.281.625.918.713
2644543,2,1,2,95,2,,,,,,,,2,,,,,,,,,,,,,184.386.305.386.704,2,3,63,178.281.625.918.713
2644543,2,2,2,95,2,,,,,,,,2,,,,,,,,,,,,,184.386.305.386.704,2,3,63,178.281.625.918.713
2645038,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,105.342.993.398.306,2,3,19,12.183.585.219.658
2645038,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,,,105.342.993.398.306,2,3,19,12.183.585.219.658
2645038,1,3,1,95,2,,,,,,,,2,,,,,,,,,,,,,105.342.993.398.306,2,3,19,12.183.585.219.658
2645039,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,429.185.711.423.109,2,3,19,593.294.059.379.725
2645039,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,,,429.185.711.423.109,2,3,19,593.294.059.379.725
2645039,1,3,1,95,2,,,,,,,,2,,,,,,,,,,,,,429.185.711.423.109,2,3,19,593.294.059.379.725
2645039,1,4,1,95,2,,,,,,,,1,1,2,,,,600000,,2,2,2,,2,429.185.711.423.109,2,3,19,593.294.059.379.725
2645040,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,543.270.288.927.694,2,3,19,577.536.495.138.973
2645040,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,,,543.270.288.927.694,2,3,19,577.536.495.138.973
2645040,1,3,1,95,2,,,,,,,,2,,,,,,,,,,,,,543.270.288.927.694,2,3,19,577.536.495.138.973
2645040,1,4,1,95,2,,,,,,,,2,,,,,,,,,,,,,543.270.288.927.694,2,3,19,577.536.495.138.973
2645041,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,963.320.625.364.936,2,3,19,112.424.087.687.856
2645041,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,,,963.320.625.364.936,2,3,19,112.424.087.687.856
2645042,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,496.619.753.544.967,2,3,19,737.107.184.770.169
2645042,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,,,496.619.753.544.967,2,3,19,737.107.184.770.169
2645042,1,3,1,95,2,,,,,,,,2,,,,,,,,,,,,,496.619.753.544.967,2,3,19,737.107.184.770.169
2645042,1,4,1,95,2,,,,,,,,2,,,,,,,,,,,,,496.619.753.544.967,2,3,19,737.107.184.770.169
2645043,1,1,1,95,2,,,,,,,,1,1,2,,,,300000,,2,2,2,,2,417.673.224.806.116,2,3,19,417.746.382.966.671
2645043,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,,,417.673.224.806.116,2,3,19,417.746.382.966.671
2645043,1,3,1,95,2,,,,,,,,2,,,,,,,,,,,,,417.673.224.806.116,2,3,19,417.746.382.966.671
2645043,1,5,1,95,2,,,,,,,,2,,,,,,,,,,,,,417.673.224.806.116,2,3,19,417.746.382.966.671
2645043,1,6,1,95,2,,,,,,,,2,,,,,,,,,,,,,417.673.224.806.116,2,3,19,417.746.382.966.671
2645043,1,7,1,95,2,,,,,,,,2,,,,,,,,,,,,,417.673.224.806.116,2,3,19,417.746.382.966.671
2645043,1,8,1,95,2,,,,,,,,2,,,,,,,,,,,,,417.673.224.806.116,2,3,19,417.746.382.966.671
2645044,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,951.359.108.442.345,2,3,19,86.676.809.301.069
2645044,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,,,951.359.108.442.345,2,3,19,86.676.809.301.069
2645044,1,3,1,95,2,,,,,,,,2,,,,,,,,,,,,,951.359.108.442.345,2,3,19,86.676.809.301.069
2645044,1,4,1,95,2,,,,,,,,2,,,,,,,,,,,,,951.359.108.442.345,2,3,19,86.676.809.301.069
2645044,1,5,1,95,2,,,,,,,,2,,,,,,,,,,,,,951.359.108.442.345,2,3,19,86.676.809.301.069
