Directorio;Secuencia_p;Orden;Area;Regis;P7430;P7440;P7450;P7450s1;P7460;P7470;P7472;P7472s1;P7490;P7490s1;Ini;Dpto;Fex_c_2011
396578;1;4;05;80;1;4;3; ;2; ; ; ; ; ;1;05;814,107066911803
396582;1;2;05;80;1;1;0; ;2; ; ; ; ; ;1;05;940,465774924496
396584;1;2;05;80;1;4;3; ;2; ; ; ; ; ;1;05;767,654435477899
396584;1;3;05;80;2; ; ; ; ; ; ; ; ; ;1;05;767,654435477899
396594;1;3;05;80;2; ; ; ; ; ; ; ; ; ;1;05;547,066690373755
396601;1;3;05;80;2; ; ; ; ; ; ; ; ; ;1;05;692,248140391801
396601;1;4;05;80;2; ; ; ; ; ; ; ; ; ;1;05;692,248140391801
396604;1;2;05;80;1;4;3; ;2; ; ; ; ; ;1;05;958,857269625289
396611;1;3;05;80;2; ; ; ; ; ; ; ; ; ;1;05;561,657757775625
396615;1;5;05;80;2; ; ; ; ; ; ; ; ; ;1;05;697,530778777021
396618;1;2;05;80;1;1;8;EMBARAZO  Y  POR ENFERMEDAD  DEL  HIJO;2; ; ; ; ; ;1;05;857,738602027162
396618;1;4;05;80;2; ; ; ; ; ; ; ; ; ;1;05;857,738602027162
396628;1;1;05;80;1;4;4; ;3; ; ; ; ; ;1;05;1094,31387538343
396633;1;2;05;80;1;4;6; ;1;4;2; ;2; ;1;05;937,819100810354
396636;1;2;05;80;1;4;2; ;2; ; ; ; ; ;1;05;796,532058550834
396636;1;3;05;80;2; ; ; ; ; ; ; ; ; ;1;05;796,532058550834
396639;1;4;05;80;2; ; ; ; ; ; ; ; ; ;1;05;890,963871795299
396641;1;2;05;80;1;2;7; ;1;1;2; ;2; ;1;05;564,333653559163
396648;1;2;05;80;2; ; ; ; ; ; ; ; ; ;1;05;830,054663651468
396648;1;3;05;80;2; ; ; ; ; ; ; ; ; ;1;05;830,054663651468
396648;1;8;05;80;1;3;4; ;3; ; ; ; ; ;1;05;830,054663651468
396655;1;2;05;80;2; ; ; ; ; ; ; ; ; ;1;05;745,771711934188
396660;1;1;05;80;1;4;2; ;2; ; ; ; ; ;1;05;727,032240545373
396663;1;1;05;80;1;4;2; ;1;4;2; ;2; ;1;05;767,614503965439
396663;1;2;05;80;2; ; ; ; ; ; ; ; ; ;1;05;767,614503965439
396670;1;2;05;80;2; ; ; ; ; ; ; ; ; ;1;05;1022,07283085824
396670;1;3;05;80;2; ; ; ; ; ; ; ; ; ;1;05;1022,07283085824
