DIRECTORIO;SECUENCIA_P;ORDEN;AREA;REGIS;P6016;P6020;P6030;P6030S1;P6030S3;P6050;P6060;P6060S1;P6070;P6090;P6140;P6150;P6100;P6110;P6120;P6125;P6160;P6170;P6175;P6180;P6180S1;P6180S2;P6190;P6190S1;P6200;P6200S1;P6210;P6210S1;P6220;P6177S1;P6040;DPTO;fex_c_2011
502683;1;3;05;10;3;2;1;8;1987;4;2; ;5;1; ; ;3; ; ;1;1;1;2;2; ; ;2; ;2; ;6;2;2; ;20;05;560,609014493622
502683;1;4;05;10;2;2;1;7;1997;4;2; ;5;1; ; ;3; ; ;1;1;1;1;2; ; ;2; ;2; ;3;3; ; ;10;05;560,609014493622
502683;1;5;05;10;1;1;1;7;2002;4;2; ; ;1; ; ;3; ; ;1;2;1;1;1;500;2500;2; ;2; ;2;0; ; ;5;05;560,609014493622
502684;1;1;05;10;1;2;1;1;1956;1;2; ;6;1; ; ;1;1;18000;1;1;2; ; ; ; ; ; ; ; ;5;11;2; ;51;05;669,898951554349
502684;1;2;05;10;1;1;1;5;1959;2;2; ;6;2;1;5; ; ; ; ;1;2; ; ; ; ; ; ; ; ;3;3; ; ;48;05;669,898951554349
502684;1;3;05;10;3;1;1;6;1983;3;2; ;5;2;1;12; ; ; ; ;1;2; ; ; ; ;2; ;2; ;5;11;2; ;24;05;669,898951554349
502684;1;4;05;10;1;1;1;3;1995;3;2; ;5;1; ; ;1;5; ;2;1;1;2;2; ; ;1;100000;2; ;4;6; ; ;12;05;669,898951554349
502685;1;1;05;10;1;1;1;5;1951;1;2; ;6;1; ; ;1;2;70000;2;1;2; ; ; ; ; ; ; ; ;3;5; ; ;56;05;1119,62322441991
502685;1;2;05;10;2;2;1;3;1947;2;2; ;6;1; ; ;1;5; ;2;1;2; ; ; ; ; ; ; ; ;3;5; ; ;60;05;1119,62322441991
502685;1;3;05;10;3;1;1;3;1975;3;2; ;5;1; ; ;1;3;54200;2;1;2; ; ; ; ;2; ;2; ;5;11;2; ;32;05;1119,62322441991
502685;1;4;05;10;4;2;1;8;1981;3;2; ;3;1; ; ;1;1;17350;2;1;2; ; ; ; ;2; ;2; ;6;1;3; ;26;05;1119,62322441991
502685;1;5;05;10;4;2;1;8;2004;4;2; ; ;1; ; ;1;5; ;2;2;2; ; ; ; ;2; ;2; ;1;0; ;POR ACCIDENTE DE TRANSITO;3;05;1119,62322441991
502686;1;1;05;10;1;1;1;1;1952;1;2; ;2;1; ; ;1;1;20000;2;1;2; ; ; ; ; ; ; ; ;1;0; ; ;55;05;1052,38442484432
502686;1;2;05;10;2;2;1;9;1957;2;2; ;2;1; ; ;1;5; ;1;1;2; ; ; ; ; ; ; ; ;3;5; ; ;50;05;1052,38442484432
502686;1;3;05;10;2;2;1;11;1996;4;2; ;5;2;1;10; ; ; ; ;1;1;1;2; ; ;2; ;2; ;3;3; ; ;10;05;1052,38442484432
