DIRECTORIO,SECUENCIA_P,ORDEN,REGIS,P7250,P7260,P7280,P7280S1,P7310,P7320,P7350,P7350S1,P7360,P7390,P7390S1,P7420,P7420S1,P7420S2,P7420S3,P7420S4,P7420S5,P7420S6,P7420S7,P7420S8,P7420S7A1,P7422,P7422S1,P9460,CLASE,DSI,OFICIO1,OFICIO2,RAMA4D_D,RAMA2D_D,DPTO,fex_c_2011
589283,1,1,70,3,48,1,,2,3,1,,5,1,,,,,,,,,,1,,2,,2,2,1,97,97,5141,51,5,903.217.642.053.306
589294,1,1,70,6,48,4,,2,2,4,,1,1,,,,,,,,,,1,,2,,2,2,1,95,95,4521,45,5,328.908.394.080.721
589315,1,3,70,3,48,1,,2,2,4,,1,4,,,,,,,,,,1,,1,60000,2,2,1,95,61,117,1,5,305.199.201.750.987
589317,1,6,70,6,48,1,,2,6,1,,4,4,,,,,,,,,,1,,2,,2,2,1,45,45,5234,52,5,344.520.440.405.098
589320,1,2,70,12,48,1,,2,14,4,,2,4,,,,,,,,,,1,,2,,2,2,1,45,77,1551,15,5,512.155.681.294.392
589360,1,3,70,8,48,4,,2,20,1,,9,1,,,1,,,,,,,,,2,,2,2,1,3,3,113,1,5,316.384.167.505.199
589385,1,3,70,8,25,1,,1,,,.,,,.,.,,,,,,,,,.,,,,2,1,53,,,,5,366.126.136.544.638
589386,1,6,70,8,48,1,,1,,,.,,,.,.,,,,,,,,,.,,,,2,1,32,,,,5,389.462.198.979.321
589393,1,3,70,12,48,1,,2,12,1,,3,1,,,,,,,,,,1,,2,,2,2,1,95,95,4552,45,5,348.004.282.572.834
589437,1,2,70,6,70,8,,2,12,8,,3,1,,,,,,,,,,1,,2,,2,2,1,62,62,121,1,20,133.847.932.959.617
589480,1,2,70,3,48,8,,2,1,8,,4,7,,,,,,,,,,1,,2,,2,2,1,62,62,115,1,20,147.080.253.981.702
589487,1,1,70,8,54,8,,2,8,8,,3,1,,,,,,,,,,1,,2,,2,2,1,62,62,115,1,20,134.198.633.635.335
589487,1,5,70,4,48,8,,2,4,8,,3,3,,,,,,,,,,1,,1,420000,2,2,1,62,62,115,1,20,134.198.633.635.335
589504,1,3,70,1,70,8,,2,1,8,,2,1,,,,,1,,,,,,,1,320000,2,2,1,62,95,4521,45,20,137.217.820.120.489
