directorio;secuencia_p;orden;P7430;P7440;P7450;ini;mes;area;dpto;fex_c_2011
121151;1;1;1;4;4;1;06;68;68;1200,51782290309
121155;1;2;1;4;3;1;06;17;17;129,800476325039
121159;1;1;1;2;3;1;06;66;66;577,741978984603
121159;1;3;2; ; ;1;06;66;66;577,741978984603
121161;1;1;1;4;5;1;06;17;17;315,806535369403
121161;1;2;2; ; ;1;06;17;17;315,806535369403
121173;1;2;1;1,3;8;1;06;17;17;409,346180219427
121173;1;4;2; ; ;1;06;17;17;409,346180219427
121173;1;5;1;1,2;9;1;06;17;17;409,346180219427
121175;1;3;2; ; ;1;06;50;50;380,747932019837
121175;1;4;2; ; ;1;06;50;50;380,747932019837
121175;1;6;1;1,3;8;1;06;50;50;380,747932019837
121176;1;3;1;4;5;1;06;68;68;329,468173023961
121183;1;1;2; ; ;1;06;17;17;316,455585927808
121188;1;4;1;1,3;8;1;06;23;23;194,955390000559
121188;1;6;2; ; ;1;06;23;23;194,955390000559
121190;1;2;2; ; ;1;06;66;66;700,571536713351
121191;1;1;2; ; ;1;06;17;17;271,347071924026
121200;1;1;1;1,4;7;1;06;52;52;155,436328586277
121200;1;2;1;1,2;3;1;06;52;52;155,436328586277
121204;1;2;1;1,2;9;1;06;23;23;122,76299758198
121208;1;2;1;1,2;8;1;06;68;68;327,781621702865
121208;1;3;1;1,2;9;1;06;68;68;327,781621702865
121211;1;1;1;4;5;1;06;23;23;110,644047920893
121211;1;3;2; ; ;1;06;23;23;110,644047920893
121212;1;2;1;2;3;1;06;66;66;779,781552558616
121216;1;3;2; ; ;1;06;52;52;244,208768299028
121218;1;1;1;4;4;1;06;17;17;87,0248284210384
121222;1;1;1;1,2;9;1;06;23;23;89,88845299125
121222;1;2;1;1,2;9;1;06;23;23;89,88845299125
121222;1;3;2; ; ;1;06;23;23;89,88845299125
121223;1;1;1;2;5;1;06;17;17;118,6701245291
121223;1;2;1;3;3;1;06;17;17;118,6701245291
121226;1;3;1;4;5;1;06;17;17;50,5896428190228
121235;1;2;2; ; ;1;06;23;23;173,437873372427
121237;1;1;1;1,4;8;1;06;66;66;506,34053640026
121247;1;1;1;3;5;1;06;66;66;433,710942651784
121247;1;2;2; ; ;1;06;66;66;433,710942651784
121253;1;1;1;2;3;1;06;23;23;211,543673262387
121255;1;1;1;4;5;1;06;76;76;412,164071731799
121255;1;2;1;4;3;1;06;76;76;412,164071731799
121256;1;1;1;3;5;1;06;66;66;674,900133437692
121259;1;1;1;1,2;9;1;06;17;17;390,765746234448
121266;1;3;2; ; ;1;06;17;17;90,5608419628049
121267;1;1;1;4;5;1;06;66;66;99,723776289411
121267;1;2;1;4;5;1;06;66;66;99,723776289411
121269;1;2;1;1,3;3;1;06;76;76;794,188272775624
121270;1;1;1;3;4;1;06;11;11;4572,63354499889
121272;1;1;1;3;3;1;06;11;11;4944,02263566403
121278;1;2;2; ; ;1;06;13;13;298,003598546516
121278;1;4;1;3;4;1;06;13;13;298,003598546516
121280;1;3;2; ; ;1;06;76;76;1627,7266084048
121281;1;3;2; ; ;1;06;66;66;126,357620848947
121281;1;4;1;4;4;1;06;66;66;126,357620848947
121281;1;5;1;4;3;1;06;66;66;126,357620848947
121282;1;2;1;3;9;1;06;73;73;316,400566539743
121282;1;3;2; ; ;1;06;73;73;316,400566539743
121282;1;4;1;4;4;1;06;73;73;316,400566539743
121287;1;2;1;1,2;8;1;06;76;76;2074,11282320492
121287;1;3;2; ; ;1;06;76;76;2074,11282320492
121287;1;5;2; ; ;1;06;76;76;2074,11282320492
121299;1;2;1;1,3;3;1;06;52;52;165,181308370801
121304;1;3;2; ; ;1;06;76;76;2631,56075342179
121304;1;4;2; ; ;1;06;76;76;2631,56075342179
121310;1;1;1;4;3;1;06;73;73;207,358018059801
121310;1;2;2; ; ;1;06;73;73;207,358018059801
121322;1;2;1;2;4;1;06;73;73;234,824805351049
121322;1;3;1;1,4;7;1;06;73;73;234,824805351049
121323;1;1;1;4;4;1;06;76;76;405,704661394343
121323;1;3;1;1,3;1;1;06;76;76;405,704661394343
