DIRECTORIO;AREA;SECUENCIA_P;P5000;P5010;P5020;P5030;P5040;P5050;P5070;P5080;P5090;P5090S1;P5100;P5110;P5130;P5140;P5210S1;P5210S2;P5210S3;P5210S4;P5210S5;P5210S6;P5210S7;P5210S8;P5210S9;P5210S10;P5210S11;P5210S14;P5210S15;P5210S16;P5210S17;P5210S18;P5210S19;P5210S20;P5210S21;P5210S22;P5210S24;HOGAR;P4000;P4010;P4020;P4030S1;P4030S2;P4030S3;P4030S4;P4030S5;P4030S1A1;P4030S4A1;P4040;REGIS;DPTO;ORDEN;fex_c_2011
448153;05;1;5;4;1;1;1;1;1;4;3; ; ; ; ;400000;1;1;1;1;1;1;1;2;1;2;1;1;1;1;2;2;2;2;1;2;2;1;2;1;4;1;2;1;1;1;3;2;1;01;05;1;650,326042601407
448154;05;1;6;4;1;1;1;1;1;3;3; ; ; ; ;320000;1;1;2;1;1;1;1;2;1;1;1;1;1;2;2;2;2;1;2;2;2;1;2;1;4;1;1;1;1;1;3;2;1;01;05;1;847,558567489769
448155;05;1;4;1;1;1;1;1;1;3;1; ; ;50000000;350000; ;1;1;2;2;1;1;1;2;2;2;1;1;1;2;2;2;2;2;2;1;1;1;2;1;4;1;1;1;1;1;3;2;1;01;05;1;905,188605320423
448156;05;1;6;4;3;1;1;1;1;1;1; ; ;30000000;200000; ;1;1;2;1;1;1;1;1;1;2;1;1;1;1;2;2;2;1;2;2;2;1;2;1;4;1;2;2;1;1;1;2;1;01;05;1;714,333051292143
448157;05;1;3;2;3;1;1;1;1;4;3; ; ; ; ;150000;1;1;2;2;1;2;1;2;2;2;1;1;2;2;2;2;2;1;2;2;2;1;2;1;2;1;2;2;1;1;1;2;1;01;05;1;768,33897482064
448158;05;1;3;2;1;1;1;1;1;4;3; ; ; ; ;150000;2;1;2;2;1;1;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;2;1;2;1;2;1;1;1;2;2;1;01;05;1;653,247638744421
448159;05;1;2;1;3;1;1;1;1;1;1; ; ;10000000;150000; ;1;1;2;2;1;1;1;2;2;2;1;2;1;2;2;2;2;2;2;2;2;1;2;1;2;1;2;2;1;1;1;2;1;01;05;1;716,213196517758
448160;05;1;5;1;1;1;1;1;1;1;1; ; ;250000000;500000; ;1;2;2;2;1;2;1;2;2;1;1;2;2;2;2;2;2;1;2;2;2;1;2;1;4;1;2;1;1;1;3;2;1;01;05;1;694,987746285944
448161;05;1;5;1;1;1;1;1;1;1;1; ; ;80000000;500000; ;1;1;2;1;1;1;1;1;2;1;1;1;2;2;2;2;2;2;2;2;2;1;2;1;4;1;2;1;1;1;3;2;1;01;05;1;716,213196517758
448162;05;1;3;1;1;1;1;1;1;3;3; ; ; ; ;370000;1;1;2;1;1;1;1;2;1;1;1;1;1;2;2;2;2;1;2;2;2;1;2;1;4;1;1;1;1;1;3;2;1;01;05;1;765,265492813775
