DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,CLASE,P6290,P6290S1,P6230,P6240,P6240S1,P6250,P6260,P6270,P6280,P6300,P6310,P6310S1,P6320,P6330,P6340,P6350,P6351,MES,DPTO,fex_c_2011
2713638,1,7,1,50,2,,,7,1,,,,,,,,,,,,,,6,63,120.094.507.673.142
2713638,1,8,1,50,2,,,8,3,,2,2,2,2,2,,,,,,,,6,63,120.094.507.673.142
2713638,1,9,1,50,2,,,9,3,,2,2,2,2,2,,,,,,,,6,63,120.094.507.673.142
2713639,1,1,1,50,2,,,1,1,,,,,,,,,,,,,,6,63,820.194.738.951.371
2713639,1,2,1,50,2,,,2,4,,2,2,1,,,,,,,,,,6,63,820.194.738.951.371
2713640,1,1,1,50,2,,,1,2,,1,,,,,,,,,,,,6,63,955.272.512.670.475
2713640,1,2,1,50,2,,,2,4,,2,2,2,2,1,10,,,,,,,6,63,955.272.512.670.475
2713640,1,3,1,50,2,,,3,3,,2,2,2,2,2,,,,,,,,6,63,955.272.512.670.475
2713640,1,4,1,50,2,,,4,3,,2,2,2,2,2,,,,,,,,6,63,955.272.512.670.475
2713641,1,1,1,50,2,,,1,1,,,,,,,,,,,,,,6,63,93.507.783.797.896
2713653,1,1,1,50,2,,,1,1,,,,,,,,,,,,,,6,63,848.170.760.292.876
2713653,1,2,1,50,2,,,2,4,,2,2,1,,,,,,,,,,6,63,848.170.760.292.876
2713654,1,1,1,50,2,,,1,1,,,,,,,,,,,,,,6,63,93.507.783.797.896
2713655,1,1,1,50,2,,,1,1,,,,,,,,,,,,,,6,63,794.540.574.148.112
2713655,1,2,1,50,2,2,,2,4,,2,2,2,1,,,,,,,,1,6,63,794.540.574.148.112
2713655,1,4,1,50,2,1,,4,4,,2,2,2,1,,,,,,,,1,6,63,794.540.574.148.112
2713876,1,1,1,50,2,,,1,1,,,,,,,,,,,,,,6,20,225.352.115.272.268
2713876,1,2,1,50,2,,,2,4,,2,2,2,2,2,,,,,,,,6,20,225.352.115.272.268
2713876,1,3,1,50,2,1,,3,2,,2,2,2,1,,,,,,,,1,6,20,225.352.115.272.268
2713876,1,4,1,50,2,,,4,4,,2,2,2,2,2,,,,,,,,6,20,225.352.115.272.268
2713877,1,1,1,50,2,,,1,1,,,,,,,,,,,,,,6,20,248.066.098.379.631
2713877,1,2,1,50,2,,,2,4,,2,2,2,2,1,10,,,,,,,6,20,248.066.098.379.631
2713878,1,1,1,50,2,,,1,1,,,,,,,,,,,,,,6,20,236.483.286.308.533
2713878,1,2,1,50,2,,,2,4,,2,2,2,2,2,,,,,,,,6,20,236.483.286.308.533
2713879,1,1,1,50,2,,,1,1,,,,,,,,,,,,,,6,20,1.539.887.337.939
2713879,1,2,1,50,2,,,2,4,,2,2,2,2,1,10,,,,,,,6,20,1.539.887.337.939
2713880,1,1,1,50,2,,,1,1,,,,,,,,,,,,,,6,20,16.239.361.721.869
2713880,1,2,1,50,2,,,2,4,,2,2,2,2,2,,,,,,,,6,20,16.239.361.721.869
2713881,1,1,1,50,2,,,1,1,,,,,,,,,,,,,,6,20,159.215.688.572.384
2713881,1,2,1,50,2,,,2,4,,2,2,2,2,1,10,,,,,,,6,20,159.215.688.572.384
2713882,1,1,1,50,2,,,1,1,,,,,,,,,,,,,,6,20,211.233.452.076.246
2713882,1,2,1,50,2,,,2,4,,2,2,2,2,2,,,,,,,,6,20,211.233.452.076.246
2713882,1,3,1,50,2,,,3,3,,2,2,2,2,2,,,,,,,,6,20,211.233.452.076.246
2716696,1,1,1,50,2,,,1,6,ENFERMA,2,2,2,2,2,,,,,,,,6,73,133.758.699.190.992
2716697,1,1,1,50,2,,,2,1,,,,,,,,,,,,,,6,73,895.655.544.615.796
2716697,1,2,1,50,2,,,2,4,,2,2,1,,,,,,,,,,6,73,895.655.544.615.796
2716697,1,3,1,50,2,,,2,3,,2,2,1,,,,,,,,,,6,73,895.655.544.615.796
2716697,1,5,1,50,2,,,2,3,,2,2,1,,,,,,,,,,6,73,895.655.544.615.796
2716698,1,1,1,50,2,,,1,1,,,,,,,,,,,,,,6,73,85.739.462.173.141
2716698,1,2,1,50,2,,,2,4,,2,2,2,2,2,,,,,,,,6,73,85.739.462.173.141
2716698,1,4,1,50,2,,,4,1,,,,,,,,,,,,,,6,73,85.739.462.173.141
2716704,1,1,1,50,2,,,1,1,,,,,,,,,,,,,,6,73,690.065.018.486.399
2716704,1,2,1,50,2,,,2,4,,2,2,2,2,1,2,,2,,1,2,1,6,73,690.065.018.486.399
2716705,1,1,1,50,2,,,1,1,,,,,,,,,,,,,,6,73,874.180.565.913.944
2716705,1,2,1,50,2,,,2,4,,2,2,2,2,1,10,,,,,,,6,73,874.180.565.913.944
2716707,1,1,1,50,2,,,2,1,,,,,,,,,,,,,,6,73,962.658.097.428.599
2716707,1,2,1,50,2,,,2,4,,1,,,,,,,,,,,,6,73,962.658.097.428.599
2716707,1,3,1,50,2,,,2,3,,2,2,1,,,,,,,,,,6,73,962.658.097.428.599
2716707,1,4,1,50,2,,,2,3,,2,2,1,,,,,,,,,,6,73,962.658.097.428.599
2716707,1,5,1,50,2,,,2,3,,2,2,2,2,2,,,,,,,,6,73,962.658.097.428.599
2716707,1,6,1,50,2,,,2,1,,,,,,,,,,,,,,6,73,962.658.097.428.599
2716708,1,1,1,50,2,,,1,1,,,,,,,,,,,,,,6,73,885.272.507.468.248
2716709,1,1,1,50,2,,,2,1,,,,,,,,,,,,,,6,73,832.402.593.736.319
2716709,1,2,1,50,2,1,,2,4,,2,2,2,1,,,,,,,,1,6,73,832.402.593.736.319
2716710,1,1,1,50,2,1,,1,4,,2,2,2,1,,,,,,,,1,6,73,973.091.118.490.666
2716710,1,2,1,50,2,,,1,1,,,,,,,,,,,,,,6,73,973.091.118.490.666
2716711,1,1,1,50,2,,,2,1,,,,,,,,,,,,,,6,73,807.268.672.885.362
2716711,1,2,1,50,2,,,2,4,,2,2,2,2,2,,,,,,,,6,73,807.268.672.885.362
2716711,1,3,1,50,2,1,,3,3,,2,2,2,1,,,,,,,,1,6,73,807.268.672.885.362
2716716,1,1,1,50,2,,,2,1,,,,,,,,,,,,,,6,73,824.054.617.067.896
2716716,1,2,1,50,2,1,,2,4,,2,2,2,1,,,,,,,,1,6,73,824.054.617.067.896
2716717,1,1,1,50,2,,,1,4,,2,2,2,2,1,2,,2,,1,3,1,6,73,628.847.128.086.047
2716717,1,2,1,50,2,,,2,1,,,,,,,,,,,,,,6,73,628.847.128.086.047
2716717,1,3,1,50,2,,,2,4,,2,2,2,2,1,10,,,,,,,6,73,628.847.128.086.047
2716718,1,1,1,50,2,,,2,1,,,,,,,,,,,,,,6,73,147.858.949.626.107
2716718,1,2,1,50,2,,,2,4,,2,2,2,2,1,7,,2,,1,12,1,6,73,147.858.949.626.107
2716719,1,1,1,50,2,,,2,1,,,,,,,,,,,,,,6,73,849.046.645.062.988
2716719,1,2,1,50,2,,,2,4,,1,,,,,,,,,,,,6,73,849.046.645.062.988
2716719,1,5,1,50,2,,,5,1,,,,,,,,,,,,,,6,73,849.046.645.062.988
2716720,1,1,1,50,2,,,1,4,,1,,,,,,,,,,,,6,73,880.294.378.749.168
2716721,1,1,1,50,2,1,,1,4,,2,2,2,1,,,,,,,,1,6,73,876.721.185.970.216
