DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;P6016;P6020;P6030S1;P6030S3;P6040;P6050;P6070;P6090;P6140;P6150;P6100;P6110;P6120;P6125;P6160;P6170;P6175;P6210;P6210S1;P6220;P6269;CLASE;ESC;MES;DPTO;fex_c_2011
4295138;1;2;1;10;2;2;8;1958;58;2;3;1; ; ;3; ; ;2;1;2; ;3;3; ; ;2;3;03;70;774,459003511761
4295138;1;3;1;10;2;1;11;2002;14;3;6;1; ; ;3; ; ;2;1;1;1;4;6; ; ;2;6;03;70;774,459003511761
4295139;1;1;1;10;1;1;1;1932;85;1;3;1; ; ;1;2;46000;2;1;2; ;3;3; ; ;2;3;03;70;422,075555614779
4295139;1;2;1;10;2;2;10;1947;69;2;3;1; ; ;1;2;46000;2;1;2; ;4;6; ; ;2;6;03;70;422,075555614779
4295139;1;3;1;10;3;2;2;1972;45;3;4;1; ; ;1;3;60000;2;1;2; ;5;11;2; ;2;11;03;70;422,075555614779
4295141;1;1;1;10;1;2;5;1985;31;1;4;1; ; ;3; ; ;2;1;2; ;3;5; ; ;2;5;03;70;761,726105784265
4295141;1;2;1;10;1;1;4;2004;12;3;6;1; ; ;3; ; ;2;1;1;1;3;3; ; ;2;3;03;70;761,726105784265
4295141;1;3;1;10;1;1;1;2006;11;3;6;1; ; ;3; ; ;2;1;1;1;3;3; ; ;2;3;03;70;761,726105784265
4295141;1;4;1;10;1;2;6;2011;5;3; ;1; ; ;3; ; ;2;2;1;1;2;0; ; ;2;0;03;70;761,726105784265
4295143;1;1;1;10;1;1;5;1991;25;1;4;1; ; ;3; ; ;2;1;2; ;5;11;2; ;2;11;03;70;715,566884549375
4295144;1;1;1;10;1;1;3;1980;37;1;3;1; ; ;3; ; ;2;1;2; ;3;5; ; ;2;5;03;70;958,195400980456
4295144;1;2;1;10;2;2;12;1974;42;2;3;1; ; ;3; ; ;2;1;2; ;4;6; ; ;2;6;03;70;958,195400980456
4295144;1;3;1;10;3;1;11;2002;14;3;6;1; ; ;3; ; ;2;1;1;1;4;6; ; ;2;6;03;70;958,195400980456
4295144;1;4;1;10;4;2;8;2003;13;3;6;1; ; ;3; ; ;2;1;1;1;4;6; ; ;2;6;03;70;958,195400980456
4295144;1;5;1;10;2;1;10;2007;9;3; ;1; ; ;3; ; ;2;1;1;1;3;3; ; ;2;3;03;70;958,195400980456
4295144;1;6;1;10;2;2;4;2009;7;3; ;1; ; ;3; ; ;2;1;1;1;3;1; ; ;2;1;03;70;958,195400980456
4295144;1;7;1;10;2;1;4;2013;4;3; ;1; ; ;3; ; ;2;2;2; ;1;0; ; ;2;0;03;70;958,195400980456
4295147;1;1;1;10;1;1;6;1955;61;1;3;1; ; ;3; ; ;2;2;2; ;1;0; ; ;2;0;03;70;650,843519162661
4295147;1;2;1;10;2;2;7;1960;56;2;3;1; ; ;3; ; ;2;1;2; ;3;4; ; ;2;4;03;70;650,843519162661
