DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P7250;P7260;P7280;P7280S1;P7310;P7320;P7350;P7350S1;P7360;P9460;P7390;P7390S1;P7420;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S7A1;P7420S8;P7422;P7422S1;P1806;P1519;P1883;OFICIO1;OFICIO2;RAMA2D_D;DSI;DSCY;RAMA4D_D;MES;DPTO;fex_c_2011
4412078;1;1;1;70;2;45;45;8; ;2;4;8; ;3;2;5; ; ; ; ; ; ; ; ; ; ;1;1;200000;400000;2; ;62;62;01;1;2;0115;08;50;1052,90195256281
4412081;1;1;1;70;2;13;60;1; ;2;21;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;1300000;2; ;84;84;45;1;1;4542;08;50;1608,22398685446
4412086;1;4;1;70;2;8;45;1; ;2;8;8; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;737000;2; ;85;62;01;1;1;0113;08;50;727,730879638804
4412096;1;1;1;70;2;26;60;1; ;2;26;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;800000;2; ;87;95;45;1;2;4530;08;50;900,9830358344
4412096;1;2;1;70;2;54;48;1; ;2;54;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;737717;2; ;53;53;55;1;2;5521;08;50;900,9830358344
4412097;1;3;1;70;2;2;45;1; ;2;52;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;400000;2; ;53;44;64;1;1;6421;08;50;813,610924786799
4412098;1;1;1;70;2;4;60;8; ;2;4;8; ;6;2;4; ; ; ; ; ; ; ; ; ; ;1;1;737717;737717;2; ;62;62;01;1;1;0124;08;50;900,9830358344
4412101;1;1;1;70;2;13;48;4; ;2;13;5; ;2;2;1; ; ; ; ;1; ; ; ; ; ; ;2; ;700000;2; ;41;95;45;1;1;4521;08;50;511,241133695691
4412101;1;2;1;70;2;4;48;1; ;2;54;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;800000;2; ;39;39;74;1;1;7411;08;50;511,241133695691
4412110;1;2;1;70;2;2;48;1; ;2;96;1; ;7;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;737717;2; ;45;55;80;1;1;8043;08;50;731,302779713517
4412191;1;3;1;70;2;4;48;1; ;2;5;1; ;4;2;8; ; ; ; ; ; ; ; ; ; ;1;2; ;737000;2; ;95;95;45;1;1;4521;08;05;4272,16870260386
4412193;1;3;1;70;2;3;48;1; ;2;48;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;737717;2; ;45;45;52;1;1;5233;08;05;2471,34167354227
4412196;1;2;1;70;2;12;48;1; ;2;12;1; ;9;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;737717;2; ;32;32;01;1;1;0113;08;05;6361,80002580415
4412200;1;1;1;70;2;5;48;8; ;2;6;8; ;8;2;8; ; ; ; ; ; ; ; ; ; ;1;2; ;700000;1;1;62;62;01;1;1;0111;08;05;5730,27996082258
4412201;1;3;1;70;2;12;48;1; ;2;12;1; ;8;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;1200000;2; ;70;70;15;1;1;1589;08;05;3086,30963926219
4412204;1;4;1;70;2;6;48;8; ;2;6;8; ;6;2;8; ; ; ; ; ; ; ; ; ; ;1;2; ;700000;2; ;62;62;01;1;1;0111;08;05;5302,03620084263
4412209;1;5;1;70;2;2;48;1; ;2;576;1; ;4;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;737717;2; ;45;45;52;1;1;5211;08;05;3825,39469890905
