Directorio;Secuencia_p;Orden;Hogar;Regis;P7480s1;P7480s3;P7480s4;P7480s5;P7480s6;P7480s7;P7480s8;P7480s9;P7480s10;P7480s11;P7480s1a1;P7480s3a1;P7480s4a1;P7480s5a1;P7480s6a1;P7480s7a1;P7480s8a1;P7480s9a1;P7480s10a1;P7480s11a1;Clase;Mes;Dpto;Fex_c_2011
3692287;1;1;1;90;1;2;2;2;2;2;2;2;2;2;3; ; ; ; ; ; ; ; ; ;2;03;63;988,265617009308
3692287;1;2;1;90;1;1;2;2;2;2;2;2;2;2;2;20; ; ; ; ; ; ; ; ;2;03;63;988,265617009308
3692288;1;1;1;90;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;2;03;63;1269,86805489301
3692288;1;2;1;90;2;1;2;1;2;2;2;2;2;2; ;42; ;36; ; ; ; ; ; ;2;03;63;1269,86805489301
3692288;1;3;1;90;2;1;2;2;2;2;2;2;2;2; ;2; ; ; ; ; ; ; ; ;2;03;63;1269,86805489301
3692288;1;4;1;90;2;1;2;2;2;2;2;2;2;2; ;2; ; ; ; ; ; ; ; ;2;03;63;1269,86805489301
3692289;1;1;1;90;2;1;2;2;2;2;2;2;2;2; ;12; ; ; ; ; ; ; ; ;2;03;63;1475,41391394712
3692290;1;1;1;90;2;1;2;2;2;2;2;2;2;2; ;2; ; ; ; ; ; ; ; ;2;03;63;637,318082371267
3692290;1;2;1;90;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;2;03;63;637,318082371267
3692290;1;3;1;90;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;2;03;63;637,318082371267
3692291;1;1;1;90;2;1;2;2;2;2;2;2;2;2; ;5; ; ; ; ; ; ; ; ;2;03;63;915,81632328327
3692291;1;2;1;90;2;1;2;2;2;2;2;2;2;2; ;3; ; ; ; ; ; ; ; ;2;03;63;915,81632328327
3692291;1;3;1;90;2;1;2;1;2;2;2;2;2;2; ;20; ;70; ; ; ; ; ; ;2;03;63;915,81632328327
3692291;1;4;1;90;2;1;2;1;2;2;2;2;2;2; ;3; ;30; ; ; ; ; ; ;2;03;63;915,81632328327
3692292;1;1;1;90;2;1;2;2;2;2;2;2;2;2; ;14; ; ; ; ; ; ; ; ;2;03;63;1481,34308033693
3692293;1;1;1;90;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;2;03;63;1261,71704367641
3692293;1;2;1;90;2;1;2;2;2;2;2;2;2;2; ;30; ; ; ; ; ; ; ; ;2;03;63;1261,71704367641
3692293;1;3;1;90;2;1;2;2;2;2;2;2;2;2; ;12; ; ; ; ; ; ; ; ;2;03;63;1261,71704367641
3692293;1;4;1;90;2;1;2;2;2;2;2;2;2;2; ;12; ; ; ; ; ; ; ; ;2;03;63;1261,71704367641
3692294;1;1;1;90;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;2;03;63;1969,23785819372
3692294;1;2;1;90;2;1;2;2;2;2;2;2;2;2; ;7; ; ; ; ; ; ; ; ;2;03;63;1969,23785819372
3692294;1;3;1;90;1;1;2;2;2;2;2;2;2;2;5;2; ; ; ; ; ; ; ; ;2;03;63;1969,23785819372
3692294;1;4;1;90;1;1;2;2;2;2;2;2;2;2;3;1; ; ; ; ; ; ; ; ;2;03;63;1969,23785819372
3692294;1;5;1;90;2;1;2;2;2;2;2;2;2;2; ;3; ; ; ; ; ; ; ; ;2;03;63;1969,23785819372
3692295;1;1;1;90;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;2;03;63;1700,02001167189
3692295;1;2;1;90;2;1;2;2;2;2;2;2;2;2; ;4; ; ; ; ; ; ; ; ;2;03;63;1700,02001167189
3692295;1;3;1;90;2;1;2;2;2;2;2;2;2;2; ;2; ; ; ; ; ; ; ; ;2;03;63;1700,02001167189
3692295;1;4;1;90;2;1;2;2;1;2;2;2;2;2; ;1; ; ;4; ; ; ; ; ;2;03;63;1700,02001167189
3692295;1;5;1;90;2;1;2;2;2;2;2;2;2;2; ;2; ; ; ; ; ; ; ; ;2;03;63;1700,02001167189
3692296;1;1;1;90;2;1;2;2;2;2;2;2;2;2; ;2; ; ; ; ; ; ; ; ;2;03;63;1389,71538818232
3692296;1;2;1;90;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;2;03;63;1389,71538818232
3692297;1;1;1;90;2;1;2;1;2;2;2;2;2;2; ;3; ;6; ; ; ; ; ; ;2;03;63;2358,09282440118
3692297;1;2;1;90;2;1;2;1;2;2;2;2;2;2; ;21; ;36; ; ; ; ; ; ;2;03;63;2358,09282440118
3692695;1;1;1;90;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;2;03;63;1422,06651503434
3692695;1;2;1;90;2;1;2;2;2;2;2;2;2;2; ;56; ; ; ; ; ; ; ; ;2;03;63;1422,06651503434
3692695;1;3;1;90;2;1;2;2;2;2;2;2;2;2; ;14; ; ; ; ; ; ; ; ;2;03;63;1422,06651503434
