Directorio;Secuencia_p;Orden;Hogar;Regis;Area;P7430;P7440;P7450;P7450s1;P7460;P7470;P7472;P7472s1;P7454;P7456;P7458s1;P7458;P7452;Ini;Mes;Dpto;Fex_c_2011
3683050;1;3;1;80;73;2; ; ; ;2; ;2; ;2; ;.; ; ;1;03;73;310,288323467483
3683051;1;2;1;80;73;1;4;9;POR LA EDAD;2; ;2; ; ; ; ;8;2;1;03;73;365,540224621275
3683052;1;2;1;80;73;1;3;3; ;3; ;2; ; ; ; ;9;2;1;03;73;281,864660200451
3683053;1;4;1;80;73;2; ; ; ;2; ;2; ;1;3; ;2; ;1;03;73;330,896838512951
3683054;1;5;1;80;73;1;4;7; ;2; ;2; ; ; ; ;4;2;1;03;73;260,897430981493
3683055;1;1;1;80;73;1;4;3; ;2; ;2; ; ; ; ;9;2;1;03;73;266,973618776813
3683055;1;3;1;80;73;1;4;4; ;2; ;2; ; ; ; ;8;2;1;03;73;266,973618776813
3683055;1;5;1;80;73;1;4;3; ;2; ;2; ; ;4; ;4;1;1;03;73;266,973618776813
3683056;1;2;1;80;73;1;4;8; ;2; ;2; ; ; ; ;9;2;1;03;73;266,1911753451
3683057;1;2;1;80;73;1;1;3; ;2; ;2; ; ; ; ;9;2;1;03;73;440,685450368208
3683061;1;2;1;80;73;2; ; ; ;2; ;2; ;2; ;.; ; ;1;03;73;179,10752325146
3683061;1;3;1;80;73;1;3;7; ;2; ;2; ; ; ; ;2;2;1;03;73;179,10752325146
3683063;1;3;1;80;73;1;4;3; ;2; ;2; ; ; ; ;8;2;1;03;73;225,855794961441
3683064;1;2;1;80;73;1;3;3; ;2; ;2; ; ;1; ;5;1;1;03;73;281,616727802862
3683065;1;3;1;80;73;1;1;9;CAMBIO DE DOMICILIO; ; ;2; ; ; ; ;11;2;1;03;73;241,281347419202
3683066;1;2;1;80;73;1;4;1; ;2; ;2; ; ; ; ;9;2;1;03;73;224,873798620415
3683066;1;3;1;80;73;2; ; ; ;2; ;2; ;1;1; ;2; ;1;03;73;224,873798620415
3683068;1;2;1;80;73;1;2;7; ;2; ;2; ; ;1; ;9;1;1;03;73;410,305498747041
3683070;1;1;1;80;73;1;4;5; ;3; ;2; ; ; ; ;4;2;1;03;73;277,73748683569
3683071;1;1;1;80;73;1;3;6; ;2; ;2; ; ; ; ;8;2;1;03;73;236,346317229085
3683072;1;3;1;80;73;2; ; ; ; ; ;2; ;2; ;.; ; ;1;03;73;376,7528064179
3683075;1;2;1;80;73;2; ; ; ;2; ;2; ;1;2; ;2; ;1;03;73;188,343866322007
3683076;1;4;1;80;73;1;1;2; ;2; ;2; ; ; ; ;2;2;1;03;73;390,776101980419
3683078;1;1;1;80;50;1;4;4; ;2; ;2; ; ; ; ;4;2;1;03;50;143,632473409164
3683078;1;2;1;80;50;1;4;4; ;2; ;2; ; ; ; ;4;2;1;03;50;143,632473409164
3683078;1;4;1;80;50;2; ; ; ;2; ;2; ;2; ;.; ; ;1;03;50;143,632473409164
3683080;1;1;1;80;50;1;4;5; ;3; ;2; ; ; ; ;10;2;1;03;50;182,486743258187
3683080;1;3;1;80;50;2; ; ; ; ; ;2; ;2; ;.; ; ;1;03;50;182,486743258187
3683081;1;3;1;80;50;2; ; ; ; ; ;2; ;2; ;.; ; ;1;03;50;244,85651243785
3683082;1;3;1;80;50;2; ; ; ; ; ;2; ;2; ;.; ; ;1;03;50;196,496188111766
3683082;1;4;1;80;50;2; ; ; ;2; ;2; ;2; ;.; ; ;1;03;50;196,496188111766
3683083;1;5;1;80;50;2; ; ; ;2; ;2; ;2; ;.; ; ;1;03;50;147,776172424984
