Directorio;Secuencia_p;Orden;Regis;P7480;P7480s1;P7480s2;P7480s3;P7480s4;P7480s5;P7480s6;P7480s7;P7480s8;P7480s9;P7480s10;P7480s11;P7480s12;P7480s1a1;P7480s2a1;P7480s3a1;P7480s4a1;P7480s5a1;P7480s6a1;P7480s7a1;P7480s8a1;P7480s9a1;P7480s10a1;P7480s11a1;P7480s12a1;Clase;Dpto;Fex_c_2011
189187;2;1;90; ;2;1;2;2;2;1;2;2;2;2;2;2; ;10; ; ; ;14; ; ; ; ; ; ;2;54;888,478813174667
189187;2;2;90; ;1;1;1;2;2;1;2;2;2;2;2;2;42;42;49; ; ;5; ; ; ; ; ; ;2;54;888,478813174667
189187;2;3;90; ;2;2;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ; ;2;54;888,478813174667
189187;2;4;90; ;1;1;2;2;2;2;2;2;2;2;2;2;14;4; ; ; ; ; ; ; ; ; ; ;2;54;888,478813174667
189188;2;1;90; ;2;2;1;1;2;2;2;2;2;2;2;2; ; ;23;32; ; ; ; ; ; ; ; ;2;54;815,80755881229
189188;2;2;90; ;2;2;1;2;2;2;2;2;2;2;2;2; ; ;56; ; ; ; ; ; ; ; ; ;2;54;815,80755881229
189188;2;3;90; ;2;2;1;2;2;2;2;1;2;2;2;2; ; ;15; ; ; ; ;20; ; ; ; ;2;54;815,80755881229
189188;2;4;90; ;2;2;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ; ;2;54;815,80755881229
189188;2;5;90; ;2;2;1;2;2;2;2;2;2;2;2;2; ; ;21; ; ; ; ; ; ; ; ; ;2;54;815,80755881229
189189;2;1;90; ;1;1;1;2;2;2;2;2;2;2;2;2;14;4;3; ; ; ; ; ; ; ; ; ;2;54;1095,27229153194
189569;2;1;90; ;2;2;1;2;2;2;2;2;2;2;2;2; ; ;14; ; ; ; ; ; ; ; ; ;2;23;1177,35147053992
189569;2;2;90; ;2;2;1;2;2;2;2;2;2;2;2;2; ; ;32; ; ; ; ; ; ; ; ; ;2;23;1177,35147053992
189569;2;3;90; ;2;2;1;2;2;2;2;2;2;2;2;2; ; ;14; ; ; ; ; ; ; ; ; ;2;23;1177,35147053992
