DIRECTORIO;SECUENCIA_P;P5000;P5010;P5020;P5030;P5040;P5050;P5070;P5080;P5090;P5090S1;P5100;P5110;P5130;P5140;P5210S1;P5210S2;P5210S3;P5210S4;P5210S5;P5210S6;P5210S7;P5210S8;P5210S9;P5210S10;P5210S11;P5210S14;P5210S15;P5210S16;P5210S17;P5210S18;P5210S19;P5210S20;P5210S21;P5210S22;P5210S24;P5220;P5220S1;P6008;P6007;P6007S1;HOGAR;P4000;P4010;P4020;P4030S1;P4030S1A1;P4030S2;P4030S3;P4030S4;P4030S4A1;P4030S5;P4040;REGIS;AREA;CLASE;MES;DPTO;fex_c_2011
5272888;1;4;1;1;1;1;1;1;3;4; ; ; ;500000; ;2;2;2;1;1;1;1;2;2;2;1;2;2;2;2;2;2;1;2;2;2;1;1;1;1;1;1;2;1;3;1;2;1;1;1;3;1;1;01;15;1;11;15;110,458232572693
5272889;1;2;1;2;1;1;1;1;4;3; ; ; ; ;100000;2;2;2;2;2;1;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;2;2;2; ;1;1;3;2;1;1;2;2;1;3;1;1;01;15;1;11;15;86,7746509734781
5272890;1;1;1;1;1;1;1;1;3;3; ; ; ; ;250000;2;2;1;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;1;1;1;2; ;1;3;1;4;1;3;1;1;1;3;1;1;01;15;1;11;15;138,760229987558
5272900;1;3;1;1;1;1;1;1;4;1; ; ;70000000;500000; ;1;2;2;2;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2; ;1;2; ;1;2;1;4;1;3;2;1;1;3;1;1;01;05;1;11;05;1362,84571968108
5272901;1;3;2;1;1;1;1;1;3;3; ; ; ; ;700000;1;1;1;1;1;1;1;2;1;2;1;1;1;1;2;2;2;2;2;2;2;1;3;3;2; ;1;2;1;6;1;3;1;1;1;3;1;1;01;05;1;11;05;852,598514163989
5272902;1;4;3;1;1;1;1;1;3;3; ; ; ; ;650000;1;1;1;1;1;1;1;2;1;1;1;2;1;2;2;2;2;1;2;2;2;1;2;4;2; ;1;2;1;4;1;3;1;1;1;3;1;1;01;05;1;11;05;1406,71686234744
5272903;1;3;1;1;1;1;1;1;3;3; ; ; ; ;650000;2;2;1;1;1;1;1;1;1;2;1;2;1;1;2;2;1;2;2;2;2;1;1;1;2; ;1;2;1;4;1;3;1;1;1;3;1;1;01;05;1;11;05;1162,00295356309
5272904;1;3;2;1;1;1;1;1;3;2; ;340000;150000000;800000; ;2;1;1;1;1;1;1;2;2;1;1;2;2;1;2;2;1;2;2;1;2;1;2;3;2; ;1;2;1;4;1;3;1;1;1;3;1;1;01;05;1;11;05;1236,31329336694
5272905;1;4;3;1;1;1;1;1;3;2; ;1200000;190000000;600000; ;2;1;1;1;1;1;1;2;1;1;1;2;2;1;2;2;2;2;2;2;2;1;2;4;2; ;1;2;1;4;1;3;1;1;1;3;1;1;01;15;1;11;15;164,878303728712
5272906;1;4;3;1;1;1;1;1;3;3; ; ; ; ;600000;1;1;1;1;1;1;1;2;2;1;1;2;1;1;2;2;2;2;2;2;2;1;4;4;2; ;1;2;1;4;1;3;1;1;1;3;1;1;01;15;1;11;15;97,6220776974948
5272907;1;3;1;1;1;1;1;1;3;3; ; ; ; ;400000;1;1;1;1;1;1;1;2;1;1;1;2;2;1;2;2;2;2;2;2;2;1;2;2;2; ;1;1;1;4;1;2;1;1;1;3;1;1;01;15;1;11;15;124,876167916172
5272908;1;2;1;1;1;1;1;1;3;3; ; ; ; ;300000;2;1;1;2;1;1;1;1;2;2;1;2;1;1;2;2;2;2;2;2;2;1;2;2;2; ;1;1;1;4;1;2;1;1;1;3;1;1;01;15;1;11;15;123,837222070305
