DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,P7480,P7480S1,P7480S2,P7480S3,P7480S4,P7480S5,P7480S6,P7480S7,P7480S8,P7480S9,P7480S10,P7480S11,P7480S1A1,P7480S2A1,P7480S3A1,P7480S4A1,P7480S5A1,P7480S6A1,P7480S7A1,P7480S8A1,P7480S9A1,P7480S10A1,P7480S11A1,CLASE,FT,DPTO,AREA,fex_c_2011
926409,1,1,1,90,,2,,1,2,2,2,2,2,2,2,2,,,14,,,,,,,,,1,1,5,5,583.747.883.971.763
926409,1,2,1,90,,2,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,1,1,5,5,583.747.883.971.763
926410,1,1,1,90,,2,,1,2,2,2,2,2,2,2,2,,,8,,,,,,,,,1,1,5,5,906.153.545.566.202
926410,1,2,1,90,,2,,1,2,2,2,2,2,2,2,2,,,4,,,,,,,,,1,1,5,5,906.153.545.566.202
926411,1,1,1,90,,2,,1,2,2,2,2,2,2,2,2,,,10,,,,,,,,,1,1,5,5,684.708.636.153.737
926411,1,2,1,90,,2,,1,2,2,2,2,2,2,2,2,,,5,,,,,,,,,1,1,5,5,684.708.636.153.737
926413,1,1,1,90,,2,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,1,1,5,5,808.441.671.673.436
926413,1,2,1,90,,2,,1,2,2,2,2,2,2,2,2,,,36,,,,,,,,,1,1,5,5,808.441.671.673.436
926413,1,3,1,90,,2,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,1,1,5,5,808.441.671.673.436
926413,1,4,1,90,,2,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,1,1,5,5,808.441.671.673.436
926413,1,5,1,90,,2,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,1,1,5,5,808.441.671.673.436
926414,1,1,1,90,,2,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,1,1,5,5,839.285.690.779.153
926415,1,1,1,90,,2,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,1,1,5,5,880.692.183.723.681
926415,1,2,1,90,,2,,1,2,1,2,2,2,2,2,2,,,60,,60,,,,,,,1,1,5,5,880.692.183.723.681
926416,1,1,1,90,,2,,1,2,2,2,2,2,2,2,2,,,21,,,,,,,,,1,1,5,5,702.718.287.128.585
926416,1,2,1,90,,2,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,1,1,5,5,702.718.287.128.585
926416,1,3,1,90,,2,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,1,1,5,5,702.718.287.128.585
926416,1,4,1,90,,2,,1,2,2,2,2,2,2,2,2,,,48,,,,,,,,,1,1,5,5,702.718.287.128.585
926417,1,1,1,90,,2,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,1,1,5,5,681.851.920.663.567
926417,1,2,1,90,,2,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,1,1,5,5,681.851.920.663.567
926417,1,3,1,90,,2,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,1,1,5,5,681.851.920.663.567
926417,1,4,1,90,,2,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,1,1,5,5,681.851.920.663.567
926417,1,5,1,90,,2,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,1,1,5,5,681.851.920.663.567
926418,1,1,1,90,,2,,1,2,2,2,1,1,2,2,2,,,14,,,,7,4,,,,1,1,5,5,684.708.636.153.737
926418,1,2,1,90,,2,,1,2,2,2,1,2,2,2,2,,,2,,,,7,,,,,1,1,5,5,684.708.636.153.737
926419,1,1,1,90,,2,,1,2,2,2,2,2,2,2,2,,,7,,,,,,,,,1,1,5,5,808.079.064.019.732
926419,1,2,1,90,,2,,1,2,2,1,2,2,2,2,1,,,14,,,7,,,,,3,1,1,5,5,808.079.064.019.732
926421,1,1,1,90,,2,,1,2,2,2,2,1,2,2,2,,,12,,,,,10,,,,1,1,5,5,635.825.410.927.838
926422,1,1,1,90,,2,,1,2,2,2,2,1,2,2,2,,,4,,,,,7,,,,1,1,5,5,148.819.951.731.883
926422,1,2,1,90,,2,,1,2,2,2,2,1,2,2,2,,,4,,,,,15,,,,1,1,5,5,148.819.951.731.883
926422,1,3,1,90,,2,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,1,1,5,5,148.819.951.731.883
926423,1,1,1,90,,2,,1,2,2,2,2,2,2,2,2,,,9,,,,,,,,,1,1,5,5,839.315.245.924.488
926423,1,2,1,90,,2,,1,2,2,2,2,2,2,2,2,,,28,,,,,,,,,1,1,5,5,839.315.245.924.488
926423,1,3,1,90,,2,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,1,1,5,5,839.315.245.924.488
926423,1,4,1,90,,2,,2,2,2,2,2,2,2,1,2,,,,,,,,,,20,,1,1,5,5,839.315.245.924.488
926424,1,1,1,90,,2,,1,2,2,1,2,2,2,2,2,,,56,,,12,,,,,,1,1,5,5,791.995.817.599.654
926424,1,2,1,90,,2,,1,2,2,2,2,2,2,2,1,,,14,,,,,,,,5,1,1,5,5,791.995.817.599.654
926424,1,3,1,90,,2,,2,2,2,2,2,1,2,2,2,,,,,,,,5,,,,1,1,5,5,791.995.817.599.654
926424,1,4,1,90,,2,,2,2,2,2,2,2,2,2,1,,,,,,,,,,,4,1,1,5,5,791.995.817.599.654
926424,1,5,1,90,,2,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,1,1,5,5,791.995.817.599.654
926426,1,1,1,90,,2,,1,2,2,2,2,2,2,2,2,,,35,,,,,,,,,1,1,5,5,72.034.030.903.603
926427,1,1,1,90,,2,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,1,1,5,5,103.210.449.176.426
926427,1,2,1,90,,2,,1,2,1,2,2,2,2,2,2,,,50,,30,,,,,,,1,1,5,5,103.210.449.176.426
926427,1,3,1,90,,2,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,1,1,5,5,103.210.449.176.426
