DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P7250;P7260;P7280;P7280S1;P7310;P7320;P7350;P7350S1;P7360;P7390;P7390S1;P7420;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S8;P7420S7A1;P7422;P7422S1;P9460;OFICIO1;OFICIO2;RAMA2D_D;DSI;DSCY;RAMA4D_D;MES;DPTO;fex_c_2011
2634375;1;3;1;70;2;4;45;1;;2;4;1;;9;1;;;;;;;;;;1;;1;250000;2;89;99;45;1;1;4530;2;54;749.144.060.513.686
2634376;1;3;1;70;2;8;25;1;;2;8;1;;2;1;;;;;;;;1;;;;2;;2;45;53;55;1;1;5521;2;54;725.278.185.281.458
2634435;1;4;1;70;2;10;20;3;;2;200;1;;3;1;;;;;;;;;;1;;2;;2;54;53;55;1;1;5521;2;54;826.532.522.675.337
2634438;1;1;1;70;2;7;40;1;;2;8;1;;6;1;;;;;;;;;;1;;2;;2;71;71;10;1;1;1010;2;54;677.578.321.076.464
2634439;1;1;1;70;2;4;20;4;;2;4;4;;1;1;;;;;;;;;;1;;1;40000;2;56;56;93;1;1;9301;2;54;794.822.332.049.071
2634447;1;1;1;70;2;2;50;4;;2;2;4;;1;1;;;;;;;;;;1;;1;300000;2;61;61;1;1;1;140;2;54;83.768.330.333.697
2634462;1;1;1;70;2;8;40;4;;2;8;4;;1;1;;;;;;;;;;1;;2;;2;61;61;1;1;1;140;2;54;684.728.019.389.056
2634464;1;2;1;70;2;16;40;4;;2;16;4;;1;1;;;;;;;;;;1;;2;;2;61;61;1;1;2;140;2;54;128.033.922.608.229
2634507;1;2;1;70;2;4;40;1;;2;16;8;;7;2;;;;;;;;;;1;;2;;2;3;62;1;1;1;115;2;54;689.795.973.728.879
2634522;1;2;1;70;2;6;48;1;;2;6;1;;2;1;;;;;;;;;;1;;2;;2;95;95;45;1;1;4521;2;54;964.248.798.014.173
2634548;1;2;1;70;2;6;48;4;;2;8;4;;9;1;;;;;;;;;;1;;2;;2;59;59;85;1;1;8512;2;54;795.889.204.039.852
2634552;1;3;1;70;2;4;48;1;;2;6;1;;4;4;;;;;;;;;;1;;2;;2;5;5;41;1;1;4100;2;54;858.012.241.051.195
2634838;1;1;1;70;2;3;60;8;;2;3;8;;3;1;;;;;;;;;;1;;1;100000;2;62;62;1;1;1;118;2;5;184.555.709.994.204
2634843;1;3;1;70;2;5;48;1;;1;;;.;;;.;.;;;;;;;;;.;;;;45;;;1;1;;2;5;145.702.865.171.525
2634866;1;3;1;70;2;4;48;1;;2;4;4;;2;1;;;;;;;;;;1;;2;;2;95;95;45;1;1;4559;2;5;142.714.729.727.801
2634875;1;1;1;70;2;16;48;4;;2;16;4;;9;1;;;;;;;;;;1;;2;;2;54;54;85;1;2;8532;2;5;493.736.371.791.898
