DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;P7495;P7500S1;P7500S2;P7500S3A1;P7500S2A1;P7500S1A1;P7500S3;P7505;P7510S3;P7510S6;P7510S2A1;P7510S6A1;P7510S5A1;P7510S3A1;P7510S1A1;P7510S5;P7510S1;P7510S2;P7510S7A1;P7510S7;P750S1;P750S1A1;P750S2;P750S2A1;P750S3;P750S3A1;P750S4;AREA;MES;P1661S1;P1661S1A1;P1661S2;P1661S2A1;P1661S3;P1661S3A1;P1661S4;P1661S4A1;P1661S4A2;DPTO;fex_c_2011
3927820;1;2;1;95;2; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;02; ; ; ; ; ; ; ; ; ;05;1022,46264882957
3927820;1;3;1;95;2; ; ; ; ; ; ;1;2;1; ;98000; ; ; ;2;2;2; ;2; ; ; ; ; ; ; ;05;02; ; ; ; ; ; ; ; ; ;05;1022,46264882957
3927820;1;4;1;95;2; ; ; ; ; ; ;1;2;1; ;23000; ; ; ;2;2;2; ;2; ; ; ; ; ; ; ;05;02; ; ; ; ; ; ; ; ; ;05;1022,46264882957
3927821;1;1;1;95;2; ; ; ; ; ; ;1;2;2; ; ; ; ; ;2;2;2;98;1; ; ; ; ; ; ; ;05;02; ; ; ; ; ; ; ; ; ;05;976,644742242205
3927821;1;2;1;95;2; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;02; ; ; ; ; ; ; ; ; ;05;976,644742242205
3927821;1;3;1;95;2; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;02; ; ; ; ; ; ; ; ; ;05;976,644742242205
3927822;1;1;1;95;2; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;02; ; ; ; ; ; ; ; ; ;05;1129,43101424184
3927822;1;2;1;95;2; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;02; ; ; ; ; ; ; ; ; ;05;1129,43101424184
3927823;1;1;1;95;2; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;02; ; ; ; ; ; ; ; ; ;05;1321,76994964973
3927823;1;2;1;95;2; ; ; ; ; ; ;1;2;2; ; ; ; ; ;2;2;2;680000;1; ; ; ; ; ; ; ;05;02; ; ; ; ; ; ; ; ; ;05;1321,76994964973
3927823;1;3;1;95;2; ; ; ; ; ; ;1;2;2; ; ; ; ; ;2;2;2;320000;1; ; ; ; ; ; ; ;05;02; ; ; ; ; ; ; ; ; ;05;1321,76994964973
3927823;1;4;1;95;2; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;02; ; ; ; ; ; ; ; ; ;05;1321,76994964973
3927825;1;1;1;95;2; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;02; ; ; ; ; ; ; ; ; ;05;1474,78307349556
3927825;1;2;1;95;2; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;02; ; ; ; ; ; ; ; ; ;05;1474,78307349556
3927826;1;1;1;95;2; ; ; ; ; ; ;1;2;1; ;150000; ; ; ;2;2;2; ;2; ; ; ; ; ; ; ;05;02; ; ; ; ; ; ; ; ; ;05;1215,40085386145
3927826;1;2;1;95;2; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;02; ; ; ; ; ; ; ; ; ;05;1215,40085386145
3927827;1;1;1;95;2; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;02; ; ; ; ; ; ; ; ; ;05;1140,93445877242
3927827;1;2;1;95;1;1;2; ; ;700000;2;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;02; ; ; ; ; ; ; ; ; ;05;1140,93445877242
3927828;1;1;1;95;1;2;1; ;900000; ;2;1;2;2; ; ; ; ; ;2;2;2;2240000;1; ; ; ; ; ; ; ;05;02; ; ; ; ; ; ; ; ; ;05;1253,79925228903
3927828;1;2;1;95;1;2;1; ;1100000; ;2;1;2;2; ; ; ; ; ;2;2;2;2450000;1; ; ; ; ; ; ; ;05;02; ; ; ; ; ; ; ; ; ;05;1253,79925228903
3927828;1;3;1;95;2; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;02; ; ; ; ; ; ; ; ; ;05;1253,79925228903
3927829;1;1;1;95;1;1;2; ; ;380000;2;1;2;2;900000; ; ; ; ;2;2;1; ;2; ; ; ; ; ; ; ;05;02; ; ; ; ; ; ; ; ; ;05;991,852153967213
3927829;1;2;1;95;2; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;02; ; ; ; ; ; ; ; ; ;05;991,852153967213
3927829;1;3;1;95;2; ; ; ; ; ; ;1;2;1; ;86000; ; ; ;2;2;2; ;2; ; ; ; ; ; ; ;05;02; ; ; ; ; ; ; ; ; ;05;991,852153967213
3927830;1;1;1;95;2; ; ; ; ; ; ;1;2;1; ;500000; ; ; ;2;2;2;900000;1; ; ; ; ; ; ; ;05;02; ; ; ; ; ; ; ; ; ;05;1307,85876613399
