DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P7250;P7260;P7280;P7280S1;P7310;P7320;P7350;P7350S1;P7360;P7390;P7390S1;P7420;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S8;P7420S7A1;P7422;P7422S1;P9460;OFICIO1;OFICIO2;RAMA2D_D;DSI;DSCY;RAMA4D_D;MES;DPTO;fex_c_2011;AREA
3203600;1;5;1;70;1;4;40;1; ;2;4;1; ;8;1; ; ; ; ; ; ; ; ; ;1; ;1;200000;2;45;45;64;1;1;6421;05;20;161,467683347361;20
3203601;1;2;1;70;1;4;48;4; ;2;4;4; ;1;8; ; ; ; ; ; ; ; ; ;1; ;1;680000;2;95;95;45;1;1;4559;05;20;133,740028726271;20
3203602;1;2;1;70;1;4;48;1; ;2;48;1; ;2;1; ; ; ; ;1; ; ; ; ; ; ;2; ;2;45;38;64;1;1;6421;05;20;144,215674292989;20
3203603;1;2;1;70;1;52;48;1; ;2;52;1; ;4;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;32;33;52;1;2;5211;05;19;120,514539777781;19
3203607;1;1;1;70;1;52;40;1; ;2;76;1; ;4;6; ; ; ; ; ; ; ; ; ;1; ;2; ;1;33;33;51;1;2;5125;05;19;77,5141501623765;19
3203608;1;1;1;70;1;12;40;1; ;2;12;1; ;8;1; ; ; ;1; ; ; ; ; ; ; ;2; ;2;11;39;85;1;1;8532;05;19;90,5575910425152;19
3203612;1;1;1;70;1;4;48;4; ;2;4;4; ;1;1; ; ;1; ; ; ; ; ; ; ; ;1;200000;2;95;95;45;1;1;4521;05;19;91,142552653198;19
3203620;1;2;1;70;1;40;40;1; ;2;4;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;1;200000;2;59;45;52;1;2;5211;05;19;111,03807997589;19
3203621;1;3;1;70;1;52;40;1; ;2;52;1; ;5;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;87;87;29;1;2;2929;05;76;932,092998559205;76
3203622;1;2;1;70;1;20;48;1; ;2;20;1; ;9;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;45;52;1;2;5211;05;76;818,347048448454;76
