DIRECTORIO;SECUENCIA_P;P5000;P5010;P5020;P5030;P5040;P5050;P5080;P5090;P5090S1;P5100;P5110;P5130;P5140;P5210S1;P5210S2;P5210S3;P5210S4;P5210S5;P5210S6;P5210S7;P5210S8;P5210S9;P5210S10;P5210S11;P5210S14;P5210S15;P5210S16;P5210S17;P5210S18;P5210S19;P5210S20;P5210S21;P5210S22;P5210S24;HOGAR;P4000;P4010;P4020;P4030S1;P4030S2;P4030S3;P4030S4;P4030S5;P4030S1A1;P4030S4A1;P4040;REGIS;CLASE;P5070;DPTO;ORDEN;fex_c_2011
905676;1;3;2;2;1;4;1;5;1;;;98;98;;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;3;2;1;2;2;2;1;1;;2;1;2;1;15;1;579.341.398.626.519
905678;1;2;1;6;;4;1;4;4;;;;20000;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;2;2;2;1;1;;2;1;2;1;15;1;144.655.494.401.128
905679;1;3;2;2;1;4;1;4;5;;;;98;;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;2;1;2;2;2;1;1;;2;1;2;1;15;1;848.194.516.290.358
905682;1;2;1;6;;4;2;5;1;;;98;98;;2;2;2;2;2;1;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;1;1;2;1;2;2;2;2;1;;;1;2;1;15;1;974.956.309.237.173
905683;1;2;1;6;;4;4;5;3;;50000;;;50000;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;3;1;2;2;2;2;2;;;;1;2;1;15;1;122.141.217.914.191
905685;1;4;2;3;1;4;1;5;1;;;98;60000;;2;2;2;2;2;1;2;2;2;2;1;1;2;2;2;2;2;2;2;2;2;1;1;1;2;1;2;2;2;1;2;;1;1;2;1;15;1;931.496.447.350.818
905686;1;4;4;6;;4;3;5;1;;;98;40000;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;2;2;2;2;2;;;;1;2;1;15;1;148.367.035.545.718
905689;1;4;3;2;1;4;1;4;1;;;70000000;200000;;2;2;2;2;1;1;2;2;2;1;1;2;1;2;2;2;2;2;2;1;2;1;1;1;4;1;2;2;2;1;1;;2;1;2;1;15;1;103.507.806.132.592
905690;1;3;1;2;1;4;1;4;4;;;;150000;;2;2;2;2;2;2;2;1;2;2;2;2;1;2;2;2;2;2;2;2;2;1;1;1;4;1;2;2;2;1;1;;1;1;2;1;15;1;122.291.551.986.949
905692;1;4;2;2;1;4;1;5;5;;;;50000;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;1;1;1;2;1;1;2;2;1;1;;1;1;2;1;15;1;107.183.394.043.215
