DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;P7495;P7500;P7500S1;P7500S2;P7500S3A1;P7500S2A1;P7500S1A1;P7500S3;P7505;P7510S3;P7510S6;P7510S2A1;P7510S6A1;P7510S5A1;P7510S3A1;P7510S1A1;P7510S5;P7510S1;P7510S2;CLASE;P7510S7A1;P7510S7;DPTO;fex_c_2011
905682;1;1;1;95;2;;;;;;;;1;2;2;;;;;70000;2;1;2;2;;2;15;974.956.309.237.173
905683;1;1;1;95;2;;;;;;;;2;;;;;;;;;;;2;;;15;122.141.217.914.191
905683;1;2;1;95;2;;;;;;;;2;;;;;;;;;;;2;;;15;122.141.217.914.191
905685;1;1;1;95;2;;;;;;;;2;;;;;;;;;;;2;;;15;931.496.447.350.818
905685;1;2;1;95;2;;;;;;;;2;;;;;;;;;;;2;;;15;931.496.447.350.818
905686;1;1;1;95;2;;;;;;;;2;;;;;;;;;;;2;;;15;148.367.035.545.718
905686;1;2;1;95;2;;;;;;;;2;;;;;;;;;;;2;;;15;148.367.035.545.718
905686;1;3;1;95;2;;;;;;;;2;;;;;;;;;;;2;;;15;148.367.035.545.718
905689;1;1;1;95;2;;;;;;;;2;;;;;;;;;;;2;;;15;103.507.806.132.592
905689;1;2;1;95;2;;;;;;;;2;;;;;;;;;;;2;;;15;103.507.806.132.592
905689;1;3;1;95;2;;;;;;;;2;;;;;;;;;;;2;;;15;103.507.806.132.592
905690;1;1;1;95;2;;;;;;;;2;;;;;;;;;;;2;;;15;122.291.551.986.949
905692;1;1;1;95;2;;;;;;;;2;;;;;;;;;;;2;;;15;107.183.394.043.215
905692;1;2;1;95;2;;;;;;;;2;;;;;;;;;;;2;;;15;107.183.394.043.215
905692;1;3;1;95;2;;;;;;;;2;;;;;;;;;;;2;;;15;107.183.394.043.215
905694;1;1;1;95;2;;;;;;;;2;;;;;;;;;;;2;;;15;177.565.866.279.596
905694;1;2;1;95;2;;;;;;;;2;;;;;;;;;;;2;;;15;177.565.866.279.596
905694;1;3;1;95;2;;;;;;;;2;;;;;;;;;;;2;;;15;177.565.866.279.596
