Directorio;Secuencia_p;Orden;Hogar;Regis;Clase;P7250;P7260;P7280;P7280s1;P7310;P7320;P7350;P7350s1;P7360;P7390;P7390s1;P7420;P7420s1;P7420s2;P7420s3;P7420s4;P7420s5;P7420s6;P7420s7;P7420s8;P7420s7a1;P7422;P7422s1;P9460;Oficio1;Oficio2;Rama2d_d;Dsi;Dscy;Rama4d_d;Mes;Dpto;Fex_c_2011
3178260;1;2;1;70;2;4;14;4; ;2;52;3; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;99;54;95;1;1;9500;03;05;2253,57250816765
3178262;1;2;1;70;2;4;48;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;45; ; ;1;1; ;03;05;1914,13553722993
3180191;1;1;1;70;2;3;48;1; ;2;3;8; ;4;1; ; ; ; ; ; ; ; ; ;1; ;1;300000;2;60;62;01;1;1;0117;03;25;6809,16975968075
3180227;1;4;1;70;2;2;48;1; ;2;4;1; ;9;4; ; ; ; ; ; ; ; ; ;1; ;1;284000;2;79;60;01;1;1;0112;03;25;5094,29696276407
3180295;1;3;1;70;2;2;48;1; ;2;6;1; ;9;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;97;34;01;1;1;0112;03;25;2178,64275870956
3180297;1;2;1;70;2;6;48;1; ;2;4;1; ;9;2; ; ; ; ;1; ; ; ; ; ; ;2; ;2;62;62;01;1;1;0112;03;25;5856,00370883043
3180332;1;1;1;70;2;8;48;4; ;2;8;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;73;73;02;1;1;0201;03;25;4353,84271579744
3180363;1;2;1;70;2;4;48;1; ;2;4;1; ;9;3; ; ; ; ; ; ; ; ; ;1; ;1;390000;2;62;62;01;1;1;0112;03;25;3422,53600099756
3180384;1;1;1;70;2;4;48;4; ;2;4;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;1;400000;2;95;95;45;1;1;4521;03;25;2637,11666362006
3181006;1;1;1;70;2;2;48;4; ;2;2;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;1;450000;2;61;64;05;1;1;0501;03;70;708,06653027735
3181009;1;2;1;70;2;2;48;8; ;2;3;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;1;350000;2;62;64;05;1;1;0501;03;70;623,021691487905
3181016;1;2;1;70;2;4;48;3; ;2;576;3; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;54;54;95;1;1;9500;03;70;1167,99015454675
3181024;1;1;1;70;2;2;48;4; ;2;2;4; ;1;7; ; ; ; ; ; ; ; ; ;1; ;1;200000;2;61;61;01;1;1;0140;03;70;1108,08595824247
3181027;1;2;1;70;2;2;48;4; ;2;3;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;1;200000;2;62;97;63;1;1;6310;03;70;750,161481270209
3181035;1;1;1;70;2;7;40;4; ;2;70;1; ;4;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;98;45;52;1;1;5233;03;70;483,657872975752
3181064;1;4;1;70;2;5;48;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;45; ; ;1;1; ;03;70;567,876662346911
