DIRECTORIO;SECUENCIA_P;P5000;P5010;P5020;P5030;P5040;P5050;P5070;P5080;P5090;P5090S1;P5100;P5110;P5130;P5140;P5210S1;P5210S10;P5210S11;P5210S14;P5210S15;P5210S16;P5210S17;P5210S18;P5210S19;P5210S2;P5210S20;P5210S21;P5210S22;P5210S24;P5210S3;P5210S4;P5210S5;P5210S6;P5210S7;P5210S8;P5210S9;P5220;P5220S1;P6006;P6007;P6007S1;P6008;HOGAR;P4000;P4010;P4020;P4030S1;P4030S2;P4030S3;P4030S4;P4030S5;P4030S1A1;P4030S4A1;P4040;REGIS;clase;MES;DPTO;ORDEN;fex_c_2011
2151719;1;2;2;2;1;4;2;1;4;4; ; ; ;80000; ;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;1;2;2;2; ;4;1;1;5;3;2;2;2;2;2; ; ; ;01;2;02;63;1;2162,45239137965
2151720;1;3;2;2;1;4;1;1;5;4; ; ; ;120000; ;2;2;1;1;1;2;2;2;2;1;1;2;2;2;2;2;1;1;2;2;2;1;2;2;2; ;4;1;1;1;4;1;2;2;2;1;2; ;1;01;2;02;63;1;4989,30431115126
2151721;1;1;1;2;1;4;1;1;1;4; ; ; ;40000; ;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;1;2;2;1;1;2;2; ;1;1;1;1;4;1;2;2;2;1;2; ;1;01;2;02;63;1;3728,00728723409
2151722;1;3;2;2;1;4;1;1;5;4; ; ; ;100000; ;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;2;2;1;2;2;2; ;4;1;1;1;4;1;2;2;2;1;2; ;1;01;2;02;63;1;2162,45239137965
2151724;1;5;3;2;1;4;1;1;4;4; ; ; ;70000; ;2;2;1;1;1;2;2;2;2;2;1;2;2;2;2;1;1;1;1;2;2;1;5;2;2; ;9;1;1;1;2;1;2;2;2;1;2; ;1;01;2;02;63;1;3515,19904895824
2151725;1;1;1;2;1;3;1;1;5;4; ; ; ;50000; ;2;2;1;2;2;2;2;2;2;2;1;2;2;2;2;2;1;2;1;2;2;1;1;2;2; ;2;1;1;1;4;1;2;2;2;1;2; ;1;01;2;02;63;1;3534,67913402329
2151725;2;1;1;2;1;4;1;1;4;4; ; ; ;50000; ;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;2;2;2; ;2;2; ;1;2; ; ; ; ; ; ; ; ; ; ;1;01;2;02;63;1;3534,67913402329
2151739;1;3;2;2;1;4;1;1;5;4; ; ; ;80000; ;2;2;1;2;2;2;2;2;2;2;1;2;2;2;2;2;1;1;2;2;2;1;2;2;2; ;6;1;1;1;2;1;2;2;2;1;1; ;1;01;2;02;63;1;4999,75039662546
2151740;1;2;1;2;1;5;1;1;4;4; ; ; ;70000; ;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;2;2;1;2;2;2; ;2;1;1;1;3;1;2;2;2;1;1; ;1;01;2;02;63;1;4467,17128051596
2151742;1;5;4;2;1;4;2;1;5;1; ; ;6000000;30000; ;2;2;1;2;1;2;2;2;2;2;2;2;2;2;2;2;1;1;2;2;2;1;4;2;2; ;6;1;1;4;3;1;2;2;2;2;1; ; ;01;2;02;63;1;4287,96042809187
2151743;1;2;1;2;1;4;2;1;5;3; ; ; ; ;5000;2;2;1;1;2;2;2;2;2;1;2;2;2;2;2;2;1;1;1;2;2;1;1;2;2; ;4;1;1;1;4;1;2;2;2;2;1; ; ;01;2;02;63;1;3940,65064511502
2151744;1;3;1;2;2;4;2;5;4;1; ; ;5000000;30000; ;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;1;1;2;2; ;1;1;1;1;2;1;2;2;2;2;1; ; ;01;2;02;63;1;3728,00728723409
