DIRECTORIO,SECUENCIA_P,P5000,P5010,P5020,P5030,P5040,P5050,P5080,P5090,P5090S1,P5100,P5110,P5130,P5140,P5210S1,P5210S2,P5210S3,P5210S4,P5210S5,P5210S6,P5210S7,P5210S8,P5210S9,P5210S10,P5210S11,P5210S14,P5210S15,P5210S16,P5210S17,P5210S18,P5210S19,P5210S20,P5210S21,P5210S22,P5210S24,HOGAR,P4000,P4010,P4020,P4030S1,P4030S2,P4030S3,P4030S4,P4030S5,P4030S1A1,P4030S4A1,P4040,REGIS,AREA,P5070,DPTO,ORDEN,fex_c_2011
847004,1,1,1,1,1,1,1,,3,,,,,130000,1,2,2,2,1,2,2,2,2,1,1,2,1,2,2,2,1,2,2,2,2,1,2,1,4,1,2,1,1,1,4,2,1,1,5,6,5,1,993.980.753.807.264
847005,1,4,3,1,1,1,1,4,3,,,,,370000,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,2,1,2,2,2,2,1,2,1,4,1,2,1,1,1,4,2,1,1,5,1,5,1,699.961.715.351.586
847007,1,3,2,1,1,1,1,1,3,,,,,100000,1,1,2,2,1,1,1,2,2,2,1,1,1,1,2,2,2,2,2,2,2,1,2,1,2,1,2,1,1,1,2,2,2,1,5,1,5,1,970.455.124.381.661
847009,1,3,2,1,1,1,1,4,3,,,,,130000,2,2,2,2,2,1,1,2,2,2,1,1,1,2,2,2,2,2,2,2,2,1,2,1,2,1,2,1,1,1,2,2,1,1,5,1,5,1,897.734.437.658.971
847014,1,4,3,1,1,1,1,3,1,,,30000000,200000,,2,2,2,2,1,2,1,1,2,2,1,2,1,2,2,2,2,1,2,2,2,1,2,1,2,1,1,1,1,1,2,2,1,1,5,1,5,1,856.221.644.467.746
847017,1,4,3,1,1,1,1,4,3,,,,,150000,1,1,2,1,1,1,1,2,1,2,1,2,1,2,2,2,2,2,2,2,2,1,2,1,2,1,2,1,1,1,2,2,1,1,5,1,5,1,818.901.344.736.047
847019,1,4,3,1,1,1,1,3,1,,,25000000,300000,,1,2,2,2,1,1,1,2,2,1,1,2,1,1,2,2,2,2,2,2,2,1,2,1,4,1,1,1,1,1,2,2,1,1,5,1,5,1,716.692.589.672.514
847021,1,6,3,1,1,1,1,1,1,,,35000000,250000,,1,1,2,1,1,1,1,2,1,2,1,1,2,2,2,2,2,1,2,2,2,1,2,1,4,1,2,1,1,1,2,2,1,1,5,1,5,1,820.831.400.054.923
847023,1,3,2,1,1,1,1,1,3,,,,,180000,1,1,2,2,1,2,1,2,2,2,1,1,1,2,2,2,2,1,2,2,2,1,2,1,4,1,2,1,1,1,3,2,1,1,5,1,5,1,811.741.229.223.601
847025,1,5,2,1,1,1,1,1,3,,,,,300000,1,1,1,1,1,1,1,2,2,2,1,2,2,1,2,2,2,2,2,2,2,1,2,1,4,1,2,1,1,1,3,2,1,1,5,1,5,1,918.752.733.549.177
847026,1,5,2,1,1,1,1,1,1,,,40000000,350000,,2,1,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,1,1,4,1,2,1,1,1,3,2,1,1,5,1,5,1,695.382.822.549.136
