DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,CLASE,P7430,P7440,P7450,P7450S1,P7460,P7470,P7472,P7472S1,P7454,P7456,P7458S1,P7458,P7452,INI,MES,DPTO,AREA,fex_c_2011
2636434,1,4,1,80,1,1,4,5,,3,,2,,,,,8,2,1,3,5,5,100.465.155.596.277
2636435,1,2,1,80,1,1,4,8,,2,,2,,,,,8,2,1,3,5,5,816.555.538.715.963
2636435,1,5,1,80,1,2,,,,2,,2,,2,,.,,,1,3,5,5,816.555.538.715.963
2636437,1,4,1,80,1,1,1,8,,2,,2,,,1,NO TIENE ESTUDIOS,12,1,1,3,5,5,866.499.163.235.223
2636438,1,5,1,80,1,2,,,,2,,2,,2,,.,,,1,3,5,5,104.909.561.429.208
2636439,1,1,1,80,1,1,1,8,,3,,2,,,,,8,2,1,3,5,5,977.279.809.162.692
2636441,1,3,1,80,1,2,,,,2,,2,,2,,.,,,1,3,5,5,838.720.294.847.262
2636441,1,5,1,80,1,2,,,,2,,2,,2,,.,,,1,3,5,5,838.720.294.847.262
2636442,1,2,1,80,1,1,4,4,,2,,2,,,,,4,2,1,3,5,5,100.465.155.596.277
2636442,1,4,1,80,1,2,,,,2,,2,,2,,.,,,1,3,5,5,100.465.155.596.277
2636443,1,2,1,80,1,2,,,,2,,2,,2,,.,,,1,3,5,5,106.065.272.690.492
2636447,1,1,1,80,1,1,2,7,,2,,2,,,,,8,2,1,3,5,5,953.895.967.989.721
2636448,1,6,1,80,1,2,,,,2,,2,,2,,.,,,1,3,63,63,171.360.894.401.682
2636449,1,2,1,80,1,2,,,,2,,2,,2,,.,,,1,3,63,63,167.997.756.853.528
2636450,1,1,1,80,1,1,4,7,,2,,2,,,,,8,2,1,3,63,63,12.302.344.873.024
2636450,1,2,1,80,1,2,,,,2,,2,,2,,.,,,1,3,63,63,12.302.344.873.024
2636452,1,1,1,80,1,1,4,3,,2,,2,,,,,9,2,1,3,63,63,152.879.444.576.733
2636452,1,3,1,80,1,2,,,,2,,2,,2,,.,,,1,3,63,63,152.879.444.576.733
2636454,1,1,1,80,1,1,4,3,,2,,2,,,,,1,2,1,3,63,63,108.050.421.843.138
2636454,1,2,1,80,1,2,,,,2,,2,,2,,.,,,1,3,63,63,108.050.421.843.138
2636454,1,4,1,80,1,1,1,1,,2,,2,,,,,2,2,1,3,63,63,108.050.421.843.138
2636456,1,4,1,80,1,1,4,1,,2,,2,,,,,4,2,1,3,63,63,13.467.932.397.724
2636458,1,2,1,80,1,1,3,4,,2,,2,,,,,4,2,1,3,63,63,144.755.590.680.039
2636458,1,3,1,80,1,2,,,,2,,2,,2,,.,,,1,3,63,63,144.755.590.680.039
2636458,1,4,1,80,1,2,,,,2,,2,,2,,.,,,1,3,63,63,144.755.590.680.039
2636459,1,1,1,80,1,1,4,3,,2,,2,,,,,9,2,1,3,63,63,87.925.913.127.144
2636460,1,1,1,80,1,1,1,3,,2,,2,,,,,9,2,1,3,63,63,154.277.464.307.802
2636461,1,1,1,80,1,1,4,7,,2,,2,,,,,9,2,1,3,63,63,124.678.458.697.939
2636461,1,2,1,80,1,2,,,,2,,2,,2,,.,,,1,3,63,63,124.678.458.697.939
2636461,1,3,1,80,1,1,4,5,,3,,2,,,,,10,2,1,3,63,63,124.678.458.697.939
2636462,1,1,1,80,1,1,1,4,,2,,1,400000,,,,4,2,1,3,63,63,202.814.840.997.368
2636463,1,2,1,80,1,1,4,3,,2,,2,,,,,9,2,1,3,63,63,12.302.344.873.024
2636464,1,3,1,80,1,2,,,,2,,2,,2,,.,,,1,3,63,63,131.525.799.931.822
2636465,1,2,1,80,1,2,,,,2,,2,,1,1,,1,,1,3,63,63,106.020.676.267.325
2636466,1,1,1,80,1,1,3,3,,2,,2,,,,,9,2,1,3,63,63,125.888.194.746.689
2636467,1,5,1,80,1,2,,,,2,,2,,1,3,,9,,1,3,63,63,116.741.056.727.039
2636468,1,3,1,80,1,2,,,,2,,2,,2,,.,,,1,3,63,63,17.838.456.824.123
2636468,1,4,1,80,1,2,,,,2,,2,,2,,.,,,1,3,63,63,17.838.456.824.123
2636469,1,3,1,80,1,2,,,,2,,2,,2,,.,,,1,3,63,63,139.543.859.533.688
2636469,1,4,1,80,1,2,,,,2,,2,,2,,.,,,1,3,63,63,139.543.859.533.688
2636469,1,6,1,80,1,2,,,,2,,2,,2,,.,,,1,3,63,63,139.543.859.533.688
2636472,1,1,1,80,1,2,,,,2,,2,,2,,.,,,1,3,63,63,88.026.407.473.794
2636473,1,3,1,80,1,2,,,,2,,2,,2,,.,,,1,3,63,63,131.525.799.931.822
2636474,1,2,1,80,1,1,1,2,,2,,2,,,,,2,2,1,3,63,63,144.357.693.494.984
2636477,1,2,1,80,1,1,4,3,,2,,2,,,,,9,2,1,3,63,63,191.357.368.752.816
2636478,1,3,1,80,1,1,1,2,,2,,2,,,,,2,2,1,3,63,63,131.525.799.931.822
2636479,1,1,1,80,1,1,1,2,,2,,2,,,,,2,2,1,3,27,27,24.570.527.790.753
2636479,1,2,1,80,1,2,,,,2,,2,,2,,.,,,1,3,27,27,24.570.527.790.753
2636479,1,3,1,80,1,2,,,,2,,2,,2,,.,,,1,3,27,27,24.570.527.790.753
2636481,1,4,1,80,1,1,1,2,,2,,2,,,,,2,2,1,3,27,27,24.570.527.790.753
2636481,1,5,1,80,1,1,1,2,,2,,2,,,,,2,2,1,3,27,27,24.570.527.790.753
2636482,1,3,1,80,1,1,3,2,,2,,2,,,,,2,2,1,3,27,27,24.570.527.790.753
2636482,1,4,1,80,1,2,,,,2,,2,,2,,.,,,1,3,27,27,24.570.527.790.753
2636482,1,5,1,80,1,2,,,,2,,2,,2,,.,,,1,3,27,27,24.570.527.790.753
2636482,1,6,1,80,1,2,,,,2,,2,,2,,.,,,1,3,27,27,24.570.527.790.753
2636483,1,1,1,80,1,1,1,4,,2,,2,,,,,4,2,1,3,27,27,24.570.527.790.753
2636483,1,6,1,80,1,2,,,,2,,2,,2,,.,,,1,3,27,27,24.570.527.790.753
2636485,1,2,1,80,1,2,,,,2,,2,,2,,.,,,1,3,27,27,24.570.527.790.753
