Directorio;Secuencia_p;Orden;Regis;P7250;P7260;P7280;P7280s1;P7290;P7300;P7310;P7320;P7350;P7350s1;P7360;P7370;P7380;P7380s1;P7390;P7390s1;P7400;P7410;P7410s1;P7420;P7420s1;P7420s2;P7420s3;P7420s4;P7420s5;P7420s6;P7420s7;P7420s8;P7420s7a1;P7422;P7422s1;P7424;P7424s1;Clase;Oficio1;Oficio2;Rama4d_d;Rama2d_d;Dpto;Fex_c_2011
392754;1;5;70;6;60;1; ;1;1;2;14;1; ;2;2;5; ;7; ;2;2; ; ; ; ; ; ; ; ; ;1; ;2; ;1;500000;2;54;54;9500;95;17;303,759647689713
392760;1;3;70;8;48;1; ;1;1;2;12;1; ;4;2;2; ;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;1;750000;2;95;95;4530;45;17;177,235272080873
392761;1;3;70;30;40;1; ;1;1;2;40;2; ;9;1; ;.;1; ;1; ;.; ; ; ; ; ; ; ; ;1; ;2; ;2; ;2;39;39;7512;75;17;409,566191887051
392761;1;4;70;2;40;1; ;1;1;2;5;2; ;6;2;2; ;1; ;2;2; ; ; ; ; ; ; ; ; ;1; ;2; ;1;1500000;2;37;37;8511;85;17;409,566191887051
392781;1;1;70;4;66;8; ;1;1;2;4;8; ;4;2;2; ;1; ;2;2; ; ; ; ; ; ; ;1; ; ; ;1;312000;1;3120000;2;62;62;0118;01;17;601,732545779443
392785;1;2;70;12;48;8; ;1;1;2;12;8; ;2;2;7; ;8; ;2;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;2;62;62;0118;01;17;867,979696665887
392799;1;3;70;24;48;1; ;1;1;1; ; ;.; ; ; ;.; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;45; ; ; ;17;382,1732503013
392822;1;3;70;2;50;8; ;1;1;2;8;8; ;2;2;2; ;1; ;2;4; ; ; ; ; ; ; ; ; ;1; ;2;200000;1;1000000;2;62;62;0111;01;17;559,275564879605
392836;1;2;70;4;48;2; ;2;2;1; ; ;.; ; ; ;.; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;59; ; ; ;17;766,884994686682
392844;1;3;70;3;24;8; ;1;1;2;5;8; ;2;2;5; ;1; ;2;4; ; ; ; ; ; ; ; ; ;1; ;1;30000;1;300000;2;62;62;0111;01;17;698,328082244765
392861;1;3;70;2;8;1; ;1;2;1; ; ;.; ; ; ;.; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;45; ; ; ;73;1937,66479097652
394286;1;1;70;4;48;4; ;1;1;2;4;4; ;1;2;2; ;1; ;2;2; ; ; ; ;1; ; ; ; ; ; ;1;200000;1;300000;2;85;85;4542;45;05;1238,04099834614
394292;1;2;70;6;48;1; ;1;1;2;6;1; ;2;2;5; ;1; ;2;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;2;95;95;4521;45;05;927,106498055019
394293;1;2;70;5;40;8; ;1;1;2;24;8; ;6;2;2; ;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;1;200000;2;62;62;0111;01;05;2447,26932052211
394293;1;3;70;5;48;1; ;1;1;1; ; ;.; ; ; ;.; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;45; ; ; ;05;2447,26932052211
394298;1;2;70;3;40;8; ;1;1;2;4;8; ;2;2;2; ;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;1;40000;1;600000;2;62;97;0111;01;05;2153,66837985694
394313;1;1;70;1;48;4; ;1;1;2;1;8; ;3;2;2; ;1; ;2;4; ; ; ; ; ; ; ; ; ;1; ;1;300000;2; ;2;95;62;0111;01;05;3150,09043108426
394315;1;5;70;24;48;1; ;1;1;2;6;1; ;9;1; ;.;1; ;1; ;.; ; ; ; ; ; ; ;1; ;ES PENSIONADO;2; ;1;3000000;2;58;58;7492;74;05;3149,89735285668
394324;1;2;70;2;48;8; ;1;1;2;2;4; ;1;2;2; ;1; ;2;2; ; ; ; ; ; ; ; ; ;1; ;2; ;1;400000;2;62;93;4521;45;05;1331,14834580286
394337;1;3;70;8;48;8; ;1;1;2;12;8; ;5;2;2; ;1; ;2;4; ; ; ; ; ; ; ; ; ;1; ;2; ;1;300000;2;62;62;0111;01;05;2976,13104158782
394368;2;5;70;16;48;8; ;1;1;1; ; ;.; ; ; ;.; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;62; ; ; ;05;2038,14804842932
394371;1;2;70;8;48;8; ;1;1;2;4;8; ;2;2;4; ;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;1;52000;1;500000;2;97;97;5125;51;05;2220,15396297785
394373;1;3;70;48;48;1; ;1;1;2;48;1; ;9;1; ;.;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;2;00;00;0000;00;05;2370,11152843709
394377;1;3;70;24;48;1; ;1;1;1; ; ;.; ; ; ;.; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;00; ; ; ;05;2570,98085327861
394385;1;3;70;6;48;1; ;1;1;2;16;1; ;3;1; ;.;2; ;1; ;.; ; ; ; ; ; ; ; ;1; ;2; ;2; ;2;45;45;5229;52;05;3212,51082875845
394395;1;3;70;3;48;1; ;1;1;2;18;1; ;4;2;5; ;1; ;2;4; ; ; ; ; ;1; ; ; ; ; ;2; ;1;1000000;2;81;81;3611;36;05;2638,72291756327
