Directorio;Secuencia_p;Orden;Hogar;Regis;P6016;P6020;P6030;P6030s1;P6030s3;P6040;P6050;P6070;P6090;P6140;P6150;P6100;P6110;P6120;P6125;P6160;P6170;P6175;P6210;P6210s1;P6220;Clase;Esc;Mes;Dpto;Fex_c_2011
3156768;1;1;1;10;1;1;1;9;1956;56;1;6;1; ; ;3; ; ;2;2;2; ;1;0; ;2;0;02;13;1152,93397274831
3156773;1;1;1;10;1;1;1;1;1956;57;1;3;1; ; ;1;1;23500;2;1;2; ;3;3; ;2;3;02;68;589,010596576405
3156773;1;2;1;10;2;2;1;9;1946;66;2;3;1; ; ;1;5; ;2;1;2; ;3;3; ;2;3;02;68;589,010596576405
3156774;1;1;1;10;1;1;1;8;1974;38;1;2;2;1;25; ; ; ;2;1;2; ;3;4; ;2;4;02;68;388,477950691403
3156774;1;2;1;10;2;2;1;8;1977;35;2;2;1; ; ;1;5; ;2;1;2; ;6;3;2;2;14;02;68;388,477950691403
3156775;1;1;1;10;1;1;1;6;1978;34;1;2;1; ; ;1;1;50000;2;1;2; ;4;8; ;2;8;02;68;479,477172922905
3156775;1;2;1;10;2;2;1;8;1986;26;2;2;1; ; ;1;5; ;2;1;2; ;3;5; ;2;5;02;68;479,477172922905
3156775;1;3;1;10;3;2;1;8;2000;12;3;6;1; ; ;1;5; ;2;1;1;1;4;6; ;2;6;02;68;479,477172922905
3156775;1;4;1;10;4;1;1;6;2001;11;3;6;1; ; ;1;5; ;2;1;1;1;3;4; ;2;4;02;68;479,477172922905
3156775;1;5;1;10;5;1;1;2;1988;25;5;6;1; ; ;1;1;47200;2;1;2; ;4;6; ;2;6;02;68;479,477172922905
3156776;1;1;1;10;1;1;1;10;1970;42;1;2;1; ; ;1;1;50400;2;1;2; ;5;11;2;2;11;02;68;713,591934540668
3156776;1;2;1;10;2;1;1;9;1974;38;2;2;2;1;9; ; ; ;2;1;2; ;5;11;2;2;11;02;68;713,591934540668
3156776;1;3;1;10;3;1;1;6;1996;16;3;6;1; ; ;3; ; ;2;1;1;1;4;8; ;2;8;02;68;713,591934540668
3156776;1;4;1;10;4;2;1;4;2003;9;3; ;1; ; ;3; ; ;2;1;1;1;3;4; ;2;4;02;68;713,591934540668
3156777;1;1;1;10;1;1;1;1;1961;52;1;2;1; ; ;3; ; ;2;1;2; ;3;5; ;2;5;02;68;484,551512821124
3156777;1;2;1;10;2;2;1;9;1960;52;2;2;1; ; ;3; ; ;2;1;2; ;3;3; ;2;3;02;68;484,551512821124
3156777;1;3;1;10;3;1;1;4;1996;16;4;6;1; ; ;3; ; ;2;1;2; ;4;9; ;2;9;02;68;484,551512821124
3156777;1;4;1;10;4;2;1;9;1936;76;5;4;1; ; ;3; ; ;2;2;2; ;1;0; ;2;0;02;68;484,551512821124
3156778;1;1;1;10;1;1;1;3;1978;34;1;2;2;1;6; ; ; ;2;1;2; ;4;8; ;2;8;02;68;508,898150592138
