Directorio;Secuencia_p;Orden;Hogar;Regis;Clase;P7250;P7260;P7280;P7280s1;P7310;P7320;P7350;P7350s1;P7360;P7390;P7390s1;P7420;P7420s1;P7420s2;P7420s3;P7420s4;P7420s5;P7420s6;P7420s7;P7420s8;P7420s7a1;P7422;P7422s1;P9460;Oficio1;Oficio2;Rama2d_d;Dsi;Dscy;Rama4d_d;Mes;Dpto;Fex_c_2011;Area
3705238;1;1;1;70;1;5;50;4; ;2;5;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;95;95;45;1;1;4521;04;63;152,437742448482;63
3705240;1;1;1;70;1;12;40;1; ;2;20;1; ;2;7; ; ; ; ; ; ; ; ; ;1; ;2; ;2;98;45;52;1;1;5242;04;63;138,208892594503;63
3705240;1;2;1;70;1;36;60;1; ;2;72;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;77;45;52;1;2;5223;04;63;138,208892594503;63
3705245;1;1;1;70;1;12;48;1; ;2;20;1; ;6;5; ; ; ; ; ; ; ; ; ;1; ;2; ;1;33;33;52;1;1;5211;04;63;144,451619871887;63
3705246;1;1;1;70;1;12;42;1; ;2;12;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;53;41;52;1;1;5233;04;63;161,752159555981;63
3705248;1;1;1;70;1;15;30;3; ;2;40;4; ;1;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;58;55;74;1;2;7493;04;63;148,65029865447;63
3705248;1;2;1;70;1;36;40;1; ;2;36;1; ;3;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;39;58;70;1;2;7020;04;63;148,65029865447;63
3705249;1;2;1;70;1;16;15;4; ;2;148;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;99;79;18;1;2;1810;04;63;96,8478672709015;63
3705250;1;3;1;70;1;12;40;1; ;1; ; ; ; ; ; ;.; ; ; ; ; ; ; ; ;.; ; ; ;13; ; ;1;1; ;04;63;133,796707239601;63
3705251;1;1;1;70;1;2;40;1; ;2;2;1; ;9;1; ; ; ; ; ; ; ; ; ;1; ;1;170000;2;95;99;45;1;1;4530;04;63;143,538603391341;63
3705253;1;4;1;70;1;24;40;2; ;2;352;4; ;1;7; ; ; ; ; ; ; ; ; ;1; ;2; ;2;59;41;52;1;2;5219;04;63;155,63314814905;63
3705253;1;6;1;70;1;16;48;1; ;2;52;4; ;1;8; ; ; ; ; ; ; ; ; ;1; ;2; ;2;39;96;45;1;2;4530;04;63;155,63314814905;63
3705253;1;7;1;70;1;7;40;1; ;2;7;1; ;9;6; ; ; ; ; ; ; ; ; ;1; ;2; ;2;21;45;20;1;1;2010;04;63;155,63314814905;63
3705273;1;3;1;70;1;3;48;1; ;2;4;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;1;400000;2;97;53;55;1;1;5530;04;54;407,411866637163;54
3705273;1;4;1;70;1;3;40;1; ;1; ; ; ; ; ; ;.; ; ; ; ; ; ; ; ;.; ; ; ;97; ; ;1;1; ;04;54;407,411866637163;54
3705273;1;5;1;70;1;7;48;1; ;2;18;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;77;77;15;1;1;1551;04;54;407,411866637163;54
3705275;1;2;1;70;1;4;40;1; ;2;4;1; ;4;1; ; ; ; ; ; ; ; ; ;1; ;1;640000;2;45;45;50;1;1;5030;04;54;452,073569152397;54
