DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;P7250;P7260;P1806;P7280;P7280S1;P7310;P7320;P7350;P7350S1;P7360;P9460;P7390;P7390S1;P1519;P1883;P7420;P7420S7A1;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S8;P7422;P7422S1;RAMA2D_D_R4;OFICIO1;OFICIO2;DSI;DSCY;RAMA4D_D_R4;MES;DPTO;fex_c_2011
6,001,134;1;1;1;70;08;104;48;900,000;1;;2;104;1;;9;2;1;;2;;;;;;;;;;;1;2;;52;97;93;1;2;5222;11;08;540.45249155
6,001,142;1;6;1;70;08;2;48;1,000,000;1;;2;2;1;;7;2;1;;2;;;;;;;;;;;1;1;850000;22;97;97;1;1;2229;11;08;556.82093706
6,001,155;1;1;1;70;08;12;48;1,800,000;1;;2;12;4;;1;2;1;;2;;;;;;;;;;;1;2;;74;15;16;1;1;7490;11;08;573.92443065
6,001,157;1;1;1;70;08;4;48;908,000;1;;2;12;1;;4;2;1;;2;;;;;;;;;;;1;2;;85;57;13;1;1;8530;11;08;772.29892288
6,001,162;1;1;1;70;08;48;24;400,000;4;;2;18;4;;2;2;1;;2;;;;;;;;;;;1;2;;47;45;45;1;2;4771;11;08;656.23070853
6,001,164;1;3;1;70;08;102;48;980,000;1;;2;102;1;;9;2;1;;2;;;;;;;;;;;1;2;;86;32;33;1;2;8610;11;08;525.45323568
6,001,164;1;4;1;70;08;52;48;900,000;1;;1;;;;;;;;;;.;.;;;;;;;;;;.;;39;;1;2;;11;08;525.45323568
6,001,172;1;1;1;70;08;48;48;1,500,000;1;;2;48;2;;9;2;1;;3;;;;;;;;;;;1;2;;84;58;58;1;2;8424;11;08;682.2621594
6,001,184;1;2;1;70;08;52;48;906,000;1;;2;53;1;;9;2;1;;2;;;;;;;;;;;1;2;;85;58;39;1;2;8530;11;08;532.01148912
6,001,187;1;3;1;70;08;48;48;900,000;1;;2;48;1;;7;2;2;;2;;;;;;;;;;;1;2;;85;13;13;1;2;8521;11;08;620.55981555
6,001,189;1;2;1;70;08;4;48;1,200,000;1;;2;60;1;;9;2;2;;2;;;;;;;;;;;1;2;;47;33;33;1;1;4711;11;08;645.8807496
6,001,194;1;2;1;70;08;99;48;906,000;1;;2;99;3;;1;2;2;;2;;;;;;;;;;;1;2;;97;45;54;1;2;9700;11;08;689.99264501
6,001,195;1;1;1;70;08;4;48;908,526;1;;2;6;3;;1;2;8;;2;;;;;;;;;;;1;2;;97;53;54;1;1;9700;11;08;532.96886387
6,001,201;1;1;1;70;08;48;48;900,000;1;;2;48;1;;9;2;2;;2;;;;;;;;;;;1;2;;25;45;39;1;2;2599;11;08;473.56965878
6,001,211;1;1;1;70;08;4;48;98;4;;2;4;4;;1;2;2;;2;;;;;;;;;;;1;1;99;69;12;12;1;1;6910;11;08;580.77268146
6,001,213;1;3;1;70;08;32;48;900,000;1;;2;32;3;;1;2;1;;2;;;;;;;;;;;1;2;;97;97;59;1;2;9700;11;08;630.48925503
6,001,213;1;4;1;70;08;48;48;900,000;3;;2;48;3;;1;2;1;;2;;;;;;;;;;;1;2;;97;54;54;1;2;9700;11;08;630.48925503
6,001,214;1;2;1;70;08;52;48;900,000;3;;2;60;3;;1;2;1;;2;;;;;;;;;;;1;2;;97;54;54;1;2;9700;11;08;656.49913618
6,001,220;1;7;1;70;08;52;48;908,000;1;;2;52;4;;1;2;1;;2;;;;;;;;;;;1;2;;41;95;95;1;2;4111;11;08;567.24603595
6,001,249;1;4;1;70;08;4;48;900,000;1;;2;16;1;;8;2;1;;2;;;;;;;;;;;1;2;;10;45;45;1;1;1089;11;08;419.29542882
6,001,263;1;1;1;70;08;18;48;910,000;1;;2;12;1;;5;2;1;;2;;;;;;;;;;;1;2;;45;93;93;1;2;4520;11;08;697.52984292
6,001,265;1;5;1;70;08;40;48;906,000;1;;2;45;1;;9;2;1;;2;;;;;;;;;;;1;2;;14;33;33;1;2;1410;11;08;649.03707822
6,001,277;1;4;1;70;08;8;48;908,000;1;;2;106;1;;9;2;2;;2;;;;;;;;;;;1;2;;11;45;45;1;1;1103;11;08;641.05973469
6,001,288;1;3;1;70;08;70;48;908,526;1;;2;70;1;;9;2;4;;2;;;;;;;;;;;1;2;;47;45;45;1;2;4741;11;08;540.45249155
6,001,294;1;5;1;70;08;12;48;908,526;1;;2;20;1;;4;2;4;;2;;;;;;;;;;;1;2;;38;86;99;1;1;3830;11;08;836.39423414
6,001,301;1;2;1;70;08;4;48;900,000;1;;2;4;1;;9;2;1;;2;;;;;;;;;;;1;2;;10;33;39;1;1;1051;11;08;690.06778496
6,001,304;1;2;1;70;08;36;48;900,000;1;;2;7;1;;4;2;2;;2;;;;;;;;;;;1;2;;47;03;45;1;2;4719;11;08;689.99264501
6,001,360;1;1;1;70;08;53;48;908,000;1;;2;53;1;;6;2;1;;2;;;;;;;;;;;1;1;300000;82;97;97;1;2;8299;11;08;656.23070853
6,001,365;1;3;1;70;08;70;48;1,000,000;1;;2;52;4;;1;2;1;;2;;;;;;;;;;;1;2;;47;33;45;1;2;4724;11;08;993.816965
6,001,365;1;4;1;70;08;6;48;1,200,000;1;;2;8;4;;2;2;8;;2;;;;;;;;;;;1;2;;49;98;98;1;1;4923;11;08;993.816965
6,001,366;1;1;1;70;08;16;48;908,000;1;;2;16;1;;4;2;1;;2;;;;;;;;;;;1;2;;25;87;87;1;2;2592;11;08;756.83795167
