DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,AREA,P7250,P7260,P7280,P7280S1,P7310,P7320,P7350,P7350S1,P7360,P7390,P7390S1,P7420,P7420S1,P7420S2,P7420S3,P7420S4,P7420S5,P7420S6,P7420S7,P7420S8,P7420S7A1,P7422,P7422S1,P9460,DSI,DSCY,OFICIO1,OFICIO2,RAMA2D_D,RAMA4D_D,DPTO,fex_c_2011
804300,1,3,1,70,11,24,50,1,,2,24,1,,7,1,,,,,,,,,,1,,2,,2,1,2,95,72,28,2899,11,151.148.474.494.063
804312,1,3,1,70,11,24,48,1,,2,24,1,,9,7,,,,,,,,,,1,,2,,2,1,2,45,45,15,1594,11,144.412.745.094.295
804322,1,1,1,70,11,4,48,4,,2,4,4,,1,1,,,,,,,,,,1,,1,98,2,1,1,75,75,17,1750,11,342.499.398.569.336
804322,1,6,1,70,11,4,48,1,,2,4,1,,2,1,,,,,,,,,,1,,1,98,2,1,1,0,95,45,4521,11,342.499.398.569.336
804324,1,1,1,70,11,12,48,1,,2,12,4,,4,6,,,,,,,,,,1,,2,,2,1,1,95,95,45,4521,11,249.740.546.184.846
804327,1,2,1,70,11,48,60,1,,2,48,1,,8,2,,,,,,,,,,1,,2,,2,1,2,55,55,80,8050,11,277.524.273.067.293
804337,1,2,1,70,11,26,40,4,,2,26,3,,1,1,,,,,,,,,,1,,2,,2,1,2,56,54,95,9500,11,208.451.752.163.419
804346,1,4,1,70,11,1,48,1,,2,1,1,,2,3,,,,,,,,,,1,,1,240000,2,1,1,45,45,52,5244,11,212.130.213.877.961
804350,1,3,1,70,11,52,48,1,,2,52,1,,5,1,,,,,,,,,,1,,2,,2,1,2,0,0,36,3694,11,166.714.586.561.661
804350,1,4,1,70,11,4,48,1,,2,4,4,,1,1,,,,,,,,,,1,,1,25000,2,1,1,3,85,72,7250,11,166.714.586.561.661
804351,1,2,1,70,11,4,48,1,,2,208,1,,9,2,,,,,,,,,,1,,2,,2,1,1,39,38,64,6421,11,228.137.323.115.977
